CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
8851,10,66,1-10-2017-066-03,3,1,284,488,186,1554,160,94,110,176,4,2,2,1,0,0,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,2,305,505,191,1797,162,92,108,999,6,4,2,2,0,0,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,3,999,999,200,9999,170,98,116,999,8,5,9,3,9,0,49.94718532412980000000,4,2
8852,10,67,1-10-2017-067-07,7,1,276,508,185,1500,158,106,121,999,6,3,2,1,9,0,187.57866167248400000000,4,2
8852,10,67,1-10-2017-067-07,7,2,261,445,172,1225,147,90,95,147,4,2,2,1,0,0,187.57866167248400000000,4,2
8927,10,68,1-10-2017-068-09,9,1,286,477,177,1569,152,99,92,155,6,4,2,1,0,0,403.30917801774800000000,4,2
8927,10,68,1-10-2017-068-09,9,2,260,449,170,1091,141,97,94,150,4,2,2,1,0,0,403.30917801774800000000,4,2
8928,10,69,1-10-2017-069-07,7,1,365,570,203,2316,172,100,105,999,8,5,1,2,0,0,253.99691240200700000000,4,2
8928,10,69,1-10-2017-069-07,7,2,253,451,171,1170,145,93,105,999,4,2,9,9,9,0,253.99691240200700000000,4,2
6399,11,1,1-11-2017-001-06,6,1,273,485,182,1440,154,99,114,999,4,2,2,1,0,0,1680.59640563005000000000,8,2
6399,11,1,1-11-2017-001-06,6,2,329,557,202,2127,142,87,141,999,8,6,2,3,0,0,1680.59640563005000000000,8,2
6400,11,2,1-11-2017-002-07,7,1,328,528,190,2165,158,90,110,999,6,4,2,2,0,0,4629.69511355905000000000,8,2
6400,11,2,1-11-2017-002-07,7,2,271,470,179,1670,153,99,100,145,4,2,2,1,0,0,4629.69511355905000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,368,584,203,2130,172,96,120,999,8,5,2,3,0,0,2276.03898279806000000000,8,2
6423,11,3,1-11-2017-003-03,3,2,279,479,191,1960,163,94,107,999,6,4,9,9,9,0,2276.03898279806000000000,8,2
