CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTEGRITY,CASEWGT,PSUSTRAT,VERSION
7238,11,28,1-11-2017-028-04,4,2,0,6303.00000000000000000000,8,2
7309,11,30,1-11-2017-030-05,5,1,0,219.81250000000000000000,8,2
7309,11,30,1-11-2017-030-05,5,2,0,219.81250000000000000000,8,2
7310,11,31,1-11-2017-031-07,7,2,0,6275.00000000000000000000,8,2
7412,11,34,1-11-2017-034-03,3,1,9,5482.00000000000000000000,8,2
7412,11,34,1-11-2017-034-03,3,2,0,5482.00000000000000000000,8,2
7413,11,35,1-11-2017-035-01,1,1,1,473.87500000000000000000,8,2
7413,11,35,1-11-2017-035-01,1,1,2,473.87500000000000000000,8,2
7413,11,35,1-11-2017-035-01,1,1,6,473.87500000000000000000,8,2
7413,11,35,1-11-2017-035-01,1,2,1,473.87500000000000000000,8,2
7413,11,35,1-11-2017-035-01,1,2,6,473.87500000000000000000,8,2
7413,11,35,1-11-2017-035-01,1,3,0,473.87500000000000000000,8,2
7570,11,37,1-11-2017-037-02,2,1,0,148.68750000000000000000,8,2
7642,11,38,1-11-2017-038-03,3,2,0,2849.00000000000000000000,8,2
7750,11,39,1-11-2017-039-04,4,1,0,11664.00000000000000000000,8,2
7750,11,39,1-11-2017-039-04,4,2,0,11664.00000000000000000000,8,2
7978,11,43,1-11-2017-043-07,7,1,0,5823.00000000000000000000,8,2
7978,11,43,1-11-2017-043-07,7,2,0,5823.00000000000000000000,8,2
8100,11,46,1-11-2017-046-02,2,2,0,256.62500000000000000000,8,2
8188,11,47,1-11-2017-047-02,2,2,1,119.39062500000000000000,8,2
8188,11,47,1-11-2017-047-02,2,2,2,119.39062500000000000000,8,2
8188,11,47,1-11-2017-047-02,2,2,6,119.39062500000000000000,8,2
8200,11,49,1-11-2017-049-03,3,1,0,718.12500000000000000000,8,2
8200,11,49,1-11-2017-049-03,3,2,0,718.12500000000000000000,8,2
8242,11,50,1-11-2017-050-06,6,1,0,6809.00000000000000000000,8,2
8242,11,50,1-11-2017-050-06,6,2,0,6809.00000000000000000000,8,2
8338,11,51,1-11-2017-051-03,3,1,0,1540.75000000000000000000,8,2
8338,11,51,1-11-2017-051-03,3,2,6,1540.75000000000000000000,8,2
8346,11,53,1-11-2017-053-05,5,2,0,215.75000000000000000000,8,2
8402,11,54,1-11-2017-054-09,9,1,0,11638.00000000000000000000,8,2
8472,11,56,1-11-2017-056-02,2,1,0,182.43750000000000000000,8,2
8472,11,56,1-11-2017-056-02,2,2,0,182.43750000000000000000,8,2
8534,11,57,1-11-2017-057-02,2,1,0,606.12500000000000000000,8,2
8670,11,58,1-11-2017-058-03,3,1,0,2705.50000000000000000000,8,2
8672,11,59,1-11-2017-059-07,7,2,7,10814.00000000000000000000,8,2
8778,11,60,1-11-2017-060-03,3,1,6,6747.00000000000000000000,8,2
8778,11,60,1-11-2017-060-03,3,2,0,6747.00000000000000000000,8,2
8838,11,61,1-11-2017-061-02,2,2,6,356.93750000000000000000,8,2
8838,11,61,1-11-2017-061-02,2,2,7,356.93750000000000000000,8,2
6110,12,1,1-12-2017-001-06,6,1,0,831.75000000000000000000,9,2
6185,12,2,1-12-2017-002-06,6,1,2,6809.00000000000000000000,9,2
6185,12,2,1-12-2017-002-06,6,2,6,6809.00000000000000000000,9,2
6238,12,3,1-12-2017-003-04,4,2,0,2969.00000000000000000000,9,2
6242,12,4,1-12-2017-004-07,7,1,0,3303.00000000000000000000,9,2
6307,12,5,1-12-2017-005-04,4,1,0,2341.00000000000000000000,9,2
6307,12,5,1-12-2017-005-04,4,2,0,2341.00000000000000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,0,1021.75000000000000000000,9,2
6396,12,8,1-12-2017-008-03,3,1,6,1095.25000000000000000000,9,2
6396,12,8,1-12-2017-008-03,3,2,0,1095.25000000000000000000,9,2
6438,12,9,1-12-2017-009-06,6,2,6,1810.00000000000000000000,9,2
6475,12,10,1-12-2017-010-02,2,1,9,564.75000000000000000000,9,2
6475,12,10,1-12-2017-010-02,2,2,0,564.75000000000000000000,9,2
6537,12,11,1-12-2017-011-01,1,1,3,473.87500000000000000000,9,2
6537,12,11,1-12-2017-011-01,1,1,7,473.87500000000000000000,9,2
6580,12,12,1-12-2017-012-08,8,1,6,1347.50000000000000000000,9,2
6580,12,12,1-12-2017-012-08,8,1,7,1347.50000000000000000000,9,2
6671,12,13,1-12-2017-013-06,6,1,6,1527.50000000000000000000,9,2
6734,12,15,1-12-2017-015-09,9,1,0,3747.50000000000000000000,9,2
6747,12,16,1-12-2017-016-06,6,1,0,1702.25000000000000000000,9,2
6777,12,17,1-12-2017-017-06,6,1,6,917.12500000000000000000,9,2
6777,12,17,1-12-2017-017-06,6,2,0,917.12500000000000000000,9,2
6816,12,18,1-12-2017-018-05,5,1,0,628.75000000000000000000,9,2
6863,12,19,1-12-2017-019-08,8,2,7,1502.25000000000000000000,9,2
6917,12,20,1-12-2017-020-06,6,1,7,1254.75000000000000000000,9,2
6917,12,20,1-12-2017-020-06,6,2,0,1254.75000000000000000000,9,2
6948,12,21,1-12-2017-021-03,3,2,0,1881.75000000000000000000,9,2
7005,12,23,1-12-2017-023-06,6,1,6,527.87500000000000000000,9,2
7014,12,24,1-12-2017-024-06,6,1,9,1919.25000000000000000000,9,2
7056,12,25,1-12-2017-025-03,3,2,7,7140.00000000000000000000,9,2
7138,12,26,1-12-2017-026-10,10,1,9,3396.00000000000000000000,9,2
7139,12,27,1-12-2017-027-01,1,1,1,473.87500000000000000000,9,2
7139,12,27,1-12-2017-027-01,1,1,6,473.87500000000000000000,9,2
7139,12,27,1-12-2017-027-01,1,1,7,473.87500000000000000000,9,2
7171,12,28,1-12-2017-028-03,3,2,0,4470.00000000000000000000,9,2
7211,12,29,1-12-2017-029-09,9,1,1,3832.00000000000000000000,9,2
7211,12,29,1-12-2017-029-09,9,1,6,3832.00000000000000000000,9,2
7212,12,30,1-12-2017-030-07,7,1,0,2259.00000000000000000000,9,2
7259,12,31,1-12-2017-031-02,2,1,0,655.75000000000000000000,9,2
7259,12,31,1-12-2017-031-02,2,2,0,655.75000000000000000000,9,2
7316,12,32,1-12-2017-032-03,3,1,0,631.75000000000000000000,9,2
7317,12,33,1-12-2017-033-07,7,1,0,3256.50000000000000000000,9,2
7455,12,34,1-12-2017-034-04,4,1,0,3990.50000000000000000000,9,2
7455,12,34,1-12-2017-034-04,4,2,0,3990.50000000000000000000,9,2
7456,12,35,1-12-2017-035-04,4,1,0,3990.50000000000000000000,9,2
7546,12,36,1-12-2017-036-07,7,1,0,4239.00000000000000000000,9,2
7586,12,38,1-12-2017-038-04,4,1,0,890.25000000000000000000,9,2
7586,12,38,1-12-2017-038-04,4,2,0,890.25000000000000000000,9,2
7586,12,38,1-12-2017-038-04,4,3,0,890.25000000000000000000,9,2
7618,12,39,1-12-2017-039-07,7,1,0,990.50000000000000000000,9,2
7674,12,40,1-12-2017-040-05,5,1,6,628.75000000000000000000,9,2
7674,12,40,1-12-2017-040-05,5,2,0,628.75000000000000000000,9,2
7713,12,41,1-12-2017-041-03,3,1,0,461.68750000000000000000,9,2
7713,12,41,1-12-2017-041-03,3,2,0,461.68750000000000000000,9,2
7709,12,42,1-12-2017-042-04,4,1,0,2139.00000000000000000000,9,2
7764,12,43,1-12-2017-043-03,3,1,0,838.37500000000000000000,9,2
7764,12,43,1-12-2017-043-03,3,2,0,838.37500000000000000000,9,2
7832,12,45,1-12-2017-045-09,9,1,0,3838.50000000000000000000,9,2
7868,12,46,1-12-2017-046-03,3,1,0,438.93750000000000000000,9,2
7874,12,47,1-12-2017-047-09,9,1,0,2454.00000000000000000000,9,2
7948,12,48,1-12-2017-048-03,3,1,0,896.12500000000000000000,9,2
7948,12,48,1-12-2017-048-03,3,2,0,896.12500000000000000000,9,2
7949,12,49,1-12-2017-049-03,3,1,0,896.12500000000000000000,9,2
7949,12,49,1-12-2017-049-03,3,2,0,896.12500000000000000000,9,2
8002,12,51,1-12-2017-051-10,10,1,6,1132.00000000000000000000,9,2
8002,12,51,1-12-2017-051-10,10,2,0,1132.00000000000000000000,9,2
8065,12,52,1-12-2017-052-03,3,1,6,798.25000000000000000000,9,2
8065,12,52,1-12-2017-052-03,3,2,0,798.25000000000000000000,9,2
8066,12,53,1-12-2017-053-06,6,1,0,1216.50000000000000000000,9,2
8066,12,53,1-12-2017-053-06,6,2,0,1216.50000000000000000000,9,2
8118,12,54,1-12-2017-054-07,7,2,0,8658.00000000000000000000,9,2
8192,12,55,1-12-2017-055-05,5,1,1,385.56250000000000000000,9,2
8192,12,55,1-12-2017-055-05,5,1,6,385.56250000000000000000,9,2
8192,12,55,1-12-2017-055-05,5,1,7,385.56250000000000000000,9,2
8192,12,55,1-12-2017-055-05,5,2,0,385.56250000000000000000,9,2
8194,12,56,1-12-2017-056-04,4,1,0,6880.00000000000000000000,9,2
8258,12,58,1-12-2017-058-04,4,1,0,3542.00000000000000000000,9,2
8258,12,58,1-12-2017-058-04,4,2,0,3542.00000000000000000000,9,2
8336,12,59,1-12-2017-059-04,4,1,0,3838.50000000000000000000,9,2
8434,12,62,1-12-2017-062-03,3,1,0,441.81250000000000000000,9,2
8468,12,63,1-12-2017-063-03,3,1,0,597.12500000000000000000,9,2
8468,12,63,1-12-2017-063-03,3,2,0,597.12500000000000000000,9,2
8470,12,64,1-12-2017-064-07,7,1,0,3078.00000000000000000000,9,2
8470,12,64,1-12-2017-064-07,7,2,0,3078.00000000000000000000,9,2
8556,12,65,1-12-2017-065-03,3,1,0,1316.75000000000000000000,9,2
8556,12,65,1-12-2017-065-03,3,2,0,1316.75000000000000000000,9,2
8616,12,66,1-12-2017-066-04,4,1,0,952.87500000000000000000,9,2
8618,12,67,1-12-2017-067-04,4,1,0,952.87500000000000000000,9,2
