CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,POSTINTEGLOSS,OPENLF,OPENLR,OPENRF,OPENRR,OPENTG,DAMAGELF,DAMAGELR,DAMAGERF,DAMAGERR,DAMAGETG,GLAZINGCONT,ROWIDTH1,ROWIDTH2,ROWIDTH3,ROWIDTH4,ROWIDTH5,ADAPTEQUIP,STEERINGTYPE,STEERTILTADJ,STEERTELEADJ,RIMDEFLOC,RIMDEF,CASEWGT,PSUSTRAT,VERSION
7042,11,23,1-11-2017-023-05,5,1,0,9,0,9,0,0,0,0,0,0,0,9,999,888,888,888,888,9,9,9,9,99,99,397.08111731963200000000,8,2
7095,11,24,1-11-2017-024-01,1,1,0,1,1,1,1,1,1,1,1,1,1,9,999,999,888,888,888,0,9,9,9,99,99,235.60164635252800000000,8,2
7096,11,25,1-11-2017-025-05,5,1,0,9,9,9,9,0,0,0,0,0,0,0,999,999,888,888,888,0,2,9,0,0,88,213.64699126240900000000,8,2
7096,11,25,1-11-2017-025-05,5,2,0,9,9,9,9,9,0,0,0,0,0,9,999,999,888,888,888,0,9,9,9,99,99,213.64699126240900000000,8,2
7154,11,26,1-11-2017-026-05,5,2,0,1,1,1,1,0,1,1,1,1,0,1,140,140,888,888,888,0,4,2,2,0,88,562.47811420163700000000,8,2
7237,11,27,1-11-2017-027-03,3,1,0,9,1,1,9,9,0,1,1,0,0,9,999,999,888,888,888,0,9,9,9,99,99,2010.92272580976000000000,8,2
7237,11,27,1-11-2017-027-03,3,2,0,9,9,9,9,0,0,0,0,0,0,9,999,999,888,888,888,9,9,9,9,99,99,2010.92272580976000000000,8,2
7238,11,28,1-11-2017-028-04,4,2,0,1,1,1,1,0,1,1,1,1,0,9,999,999,888,888,888,0,4,9,9,99,99,6303.98203629516000000000,8,2
7309,11,30,1-11-2017-030-05,5,1,0,1,1,1,1,1,1,1,1,1,1,9,999,999,888,888,888,0,9,9,9,0,88,219.81276137336800000000,8,2
7309,11,30,1-11-2017-030-05,5,2,0,9,9,9,9,0,0,0,0,0,0,9,999,999,888,888,888,0,9,9,9,99,99,219.81276137336800000000,8,2
7310,11,31,1-11-2017-031-07,7,2,0,1,1,1,1,0,1,1,1,1,0,0,150,145,888,888,888,0,4,2,1,0,88,6275.10787317042000000000,8,2
7412,11,34,1-11-2017-034-03,3,1,0,9,9,9,9,9,0,0,0,0,0,9,999,999,888,888,888,0,9,9,9,99,99,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,2,0,9,9,9,9,9,0,0,0,0,0,0,999,999,888,888,888,0,9,9,9,0,88,5482.36530536070000000000,8,2
7413,11,35,1-11-2017-035-01,1,1,0,9,9,9,9,0,0,0,0,0,0,9,999,999,888,888,888,9,9,9,9,99,99,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,2,1,9,9,9,9,1,0,0,0,0,1,1,999,999,888,888,888,9,9,9,9,10,99,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,3,0,1,1,1,1,0,1,1,1,1,0,0,999,999,888,888,888,0,9,9,9,99,99,473.93014835835700000000,8,2
7570,11,37,1-11-2017-037-02,2,1,0,1,1,1,1,0,1,1,1,1,0,0,147,142,888,888,888,0,4,1,5,0,88,148.71630109271600000000,8,2
7642,11,38,1-11-2017-038-03,3,2,0,1,1,1,1,1,1,1,1,1,1,9,999,999,888,888,888,0,9,9,9,0,88,2849.41052148348000000000,8,2
7750,11,39,1-11-2017-039-04,4,1,0,1,1,1,1,1,1,1,1,1,1,9,999,999,999,888,888,0,9,9,9,0,88,11665.02643297210000000000,8,2
7750,11,39,1-11-2017-039-04,4,2,0,1,1,1,1,0,1,1,1,1,0,9,999,999,888,888,888,0,9,9,9,0,88,11665.02643297210000000000,8,2
7978,11,43,1-11-2017-043-07,7,1,0,1,1,9,1,1,1,1,0,1,1,9,999,999,888,888,888,0,9,9,9,0,88,5823.90726220291000000000,8,2
7978,11,43,1-11-2017-043-07,7,2,0,1,1,1,1,0,1,1,1,1,0,9,999,999,888,888,888,0,9,9,9,0,88,5823.90726220291000000000,8,2
8100,11,46,1-11-2017-046-02,2,2,0,1,1,1,1,1,1,1,1,1,1,0,143,136,888,888,888,0,2,2,0,0,88,256.64109034170400000000,8,2
8188,11,47,1-11-2017-047-02,2,2,0,2,1,1,1,1,1,1,1,1,1,0,154,152,138,888,888,0,4,1,1,0,88,119.39762715992700000000,8,2
8201,11,49,1-11-2017-049-03,3,1,0,9,9,9,9,0,0,0,0,0,0,9,999,999,888,888,888,0,9,9,9,0,88,718.14644365892900000000,8,2
8201,11,49,1-11-2017-049-03,3,2,0,9,9,9,9,0,0,0,0,0,0,9,999,999,888,888,888,0,9,9,9,0,88,718.14644365892900000000,8,2
8243,11,50,1-11-2017-050-06,6,1,0,1,1,1,1,1,1,1,1,1,1,0,138,164,157,888,888,0,2,1,0,0,88,6809.55000197747000000000,8,2
8243,11,50,1-11-2017-050-06,6,2,0,1,1,1,1,1,1,1,1,1,1,0,999,999,999,888,888,0,9,9,9,0,88,6809.55000197747000000000,8,2
8339,11,51,1-11-2017-051-03,3,1,0,1,1,1,1,1,1,1,1,1,1,0,999,999,888,888,888,0,4,9,9,0,88,1540.97904907861000000000,8,2
8339,11,51,1-11-2017-051-03,3,2,0,1,2,1,1,0,1,1,1,1,0,0,144,134,888,888,888,0,4,2,3,0,88,1540.97904907861000000000,8,2
8347,11,53,1-11-2017-053-05,5,2,0,1,1,1,1,0,1,1,1,1,0,0,999,999,888,888,888,0,4,2,9,0,88,215.76360545375000000000,8,2
8402,11,54,1-11-2017-054-09,9,1,1,1,1,1,1,0,1,1,1,1,0,0,123,124,888,888,888,0,2,2,0,0,88,11639.62060784460000000000,8,2
8472,11,56,1-11-2017-056-02,2,1,0,1,1,1,1,1,1,1,1,1,1,0,182,183,888,888,888,0,4,2,1,0,88,182.45859960946600000000,8,2
8472,11,56,1-11-2017-056-02,2,2,0,1,0,1,0,0,1,0,1,0,0,0,167,888,888,888,888,0,2,1,0,0,88,182.45859960946600000000,8,2
8535,11,57,1-11-2017-057-02,2,1,0,1,1,9,1,1,1,1,0,1,1,0,999,999,888,888,888,0,9,9,9,99,99,606.20652262610400000000,8,2
8671,11,58,1-11-2017-058-03,3,1,0,1,1,1,1,0,1,1,1,1,0,0,999,999,888,888,888,9,9,9,9,99,99,2705.76245215757000000000,8,2
8672,11,59,1-11-2017-059-07,7,2,0,1,1,1,1,0,1,1,1,1,0,0,130,132,888,888,888,0,4,1,3,0,88,10815.32105872460000000000,8,2
8779,11,60,1-11-2017-060-03,3,1,0,1,1,2,1,0,1,1,1,1,0,9,999,999,888,888,888,0,9,9,9,0,88,6747.68905404697000000000,8,2
8779,11,60,1-11-2017-060-03,3,2,0,1,1,1,1,1,1,1,1,1,1,0,999,999,888,888,888,0,9,9,9,99,99,6747.68905404697000000000,8,2
8838,11,61,1-11-2017-061-02,2,2,0,1,1,1,1,1,1,1,1,1,1,0,138,137,888,888,888,0,2,2,0,0,88,356.97106988378900000000,8,2
6110,12,1,1-12-2017-001-06,6,1,0,1,1,1,1,0,1,1,1,1,0,0,150,150,888,888,888,0,2,1,0,0,88,831.84353437745300000000,9,2
6185,12,2,1-12-2017-002-06,6,1,0,3,1,1,1,1,4,1,1,1,1,0,150,148,888,888,888,0,2,3,0,0,88,6809.55000197747000000000,9,2
6185,12,2,1-12-2017-002-06,6,2,0,1,1,1,1,1,1,1,1,1,1,1,142,142,888,888,888,0,2,1,0,0,88,6809.55000197747000000000,9,2
6238,12,3,1-12-2017-003-04,4,2,0,1,1,1,1,1,1,1,1,1,1,0,150,146,888,888,888,0,4,1,3,0,88,2969.00932898461000000000,9,2
6242,12,4,1-12-2017-004-07,7,1,0,1,1,1,1,0,1,1,1,1,0,0,148,148,888,888,888,0,4,1,3,0,88,3303.40692034561000000000,9,2
6307,12,5,1-12-2017-005-04,4,1,0,1,1,1,1,1,1,1,1,1,1,0,156,154,888,888,888,0,4,2,3,0,88,2341.23732557018000000000,9,2
6307,12,5,1-12-2017-005-04,4,2,0,1,1,1,1,1,1,1,1,1,1,0,148,146,888,888,888,0,2,3,0,0,88,2341.23732557018000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,0,1,1,1,1,0,1,1,1,1,0,0,148,148,888,888,888,0,4,5,5,0,88,1021.86144489025000000000,9,2
6396,12,8,1-12-2017-008-03,3,1,1,1,1,1,2,1,1,1,1,1,1,1,162,145,140,888,888,0,4,1,3,0,88,1095.44977438854000000000,9,2
6396,12,8,1-12-2017-008-03,3,2,0,1,1,1,1,0,1,1,1,1,0,0,999,999,888,888,888,0,9,9,9,99,99,1095.44977438854000000000,9,2
6438,12,9,1-12-2017-009-06,6,2,1,1,1,1,1,0,1,1,1,1,0,1,144,140,888,888,888,0,4,1,5,0,88,1810.24026052966000000000,9,2
6475,12,10,1-12-2017-010-02,2,1,0,9,9,9,9,0,0,0,0,0,0,0,150,150,888,888,888,0,4,9,9,99,99,564.82332510940000000000,9,2
6475,12,10,1-12-2017-010-02,2,2,0,1,1,1,1,0,1,1,1,1,0,0,144,150,888,888,888,0,2,1,0,0,88,564.82332510940000000000,9,2
6537,12,11,1-12-2017-011-01,1,1,1,2,2,2,2,3,1,1,1,1,4,0,148,148,888,888,888,0,2,1,0,0,88,473.93014835835700000000,9,2
6580,12,12,1-12-2017-012-08,8,1,1,2,2,1,2,0,1,1,1,1,0,0,148,144,888,888,888,0,2,1,0,1,1,1347.70857556865000000000,9,2
6671,12,13,1-12-2017-013-06,6,1,0,1,1,1,1,0,1,1,1,1,0,0,138,134,888,888,888,0,2,1,0,0,88,1527.56309545422000000000,9,2
6734,12,15,1-12-2017-015-09,9,1,0,1,1,1,1,0,1,1,1,1,0,0,146,142,888,888,888,0,9,9,9,0,88,3747.88353603989000000000,9,2
6747,12,16,1-12-2017-016-06,6,1,0,1,1,1,1,1,1,1,1,1,1,0,138,132,888,888,888,0,2,5,0,0,88,1702.36586596526000000000,9,2
6777,12,17,1-12-2017-017-06,6,1,1,1,1,2,1,0,1,1,1,1,0,0,168,168,888,888,888,0,2,4,0,0,88,917.18174815223400000000,9,2
