CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
6758,13,29,1-13-2017-029-06,6,2,1,2,Side Trigger Event,97,97,7,7,9997,1,9997,997,9997,997,9997,2614.98469636895000000000,7,2
6787,13,30,1-13-2017-030-02,2,1,1,1,First Record,97,99998,0,7,9997,7,9997,997,9997,997,9997,91.07054217554070000000,7,2
6787,13,30,1-13-2017-030-02,2,1,1,2,Second Record,1,99998,0,7,9997,7,9997,997,9997,997,9997,91.07054217554070000000,7,2
6787,13,30,1-13-2017-030-02,2,1,1,3,Third Record,3,99998,0,7,9997,7,9997,997,9997,997,9997,91.07054217554070000000,7,2
6835,13,33,1-13-2017-033-02,2,1,1,1,Most Recent Event,1,2468,0,7,9997,1,9997,-22,190,997,9997,65.39425729483340000000,7,2
6835,13,33,1-13-2017-033-02,2,1,1,2,1st Prior Event,1,2468,0,7,9997,1,9997,997,9997,997,9997,65.39425729483340000000,7,2
6849,13,34,1-13-2017-034-09,9,2,1,1,Deployment,1,21289,0,7,1,7,115,-31,115,997,9997,4840.88145206512000000000,7,2
6849,13,34,1-13-2017-034-09,9,2,1,2,Non-Deployment,1,21289,0,7,9997,7,100,-4,100,997,9997,4840.88145206512000000000,7,2
6882,13,36,1-13-2017-036-03,3,1,1,1,Most Recent Event,1,99998,0,7,9997,1,9997,997,9997,997,9997,1223.97054512083000000000,7,2
6882,13,36,1-13-2017-036-03,3,1,1,2,1st Prior Event,1,99998,0,7,9997,1,9997,-15,9997,997,9997,1223.97054512083000000000,7,2
6882,13,36,1-13-2017-036-03,3,1,1,3,2nd Prior Event,97,99998,0,7,9997,1,9997,17,9997,997,9997,1223.97054512083000000000,7,2
6882,13,36,1-13-2017-036-03,3,2,1,1,Event Record 1,1,598,0,1,9997,1,9997,-27,300,2,100,1223.97054512083000000000,7,2
6906,13,37,1-13-2017-037-03,3,2,1,1,Most Recent Event,1,8740,0,1,9997,1,9997,16,270,0,0,1994.16895971702000000000,7,2
6958,13,40,1-13-2017-040-03,3,1,1,1,Most Recent Event,1,2983,0,7,9997,1,9997,997,9997,997,9997,1802.84182676890000000000,7,2
6958,13,40,1-13-2017-040-03,3,1,1,2,1st Prior Event,1,2983,0,7,9997,1,9997,997,9997,997,9997,1802.84182676890000000000,7,2
6958,13,40,1-13-2017-040-03,3,1,1,3,2nd Prior Event,1,2983,0,7,9997,1,9997,-74,294,997,9997,1802.84182676890000000000,7,2
6958,13,40,1-13-2017-040-03,3,1,1,4,3rd Prior Event,1,2983,0,7,9997,1,9997,997,9997,997,9997,1802.84182676890000000000,7,2
