CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
8070,26,57,1-26-2017-057-09,9,1,3,2,22,12,19,2028,37121334,2,03/07/2016,2,3,2,2,1,1,1,3,3,2,3,9,0,1,1,4,3,0,1,4415.53740160924000000000,10,2
8070,26,57,1-26-2017-057-09,9,1,4,1,23,12,19,2028,37111827,2,02/25/2016,2,3,2,2,1,1,1,3,3,2,3,9,0,1,1,4,3,1,1,4415.53740160924000000000,10,2
8095,26,58,1-26-2017-058-03,3,1,3,1,21,98,98,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,9,9,9,9,942.74596167575400000000,10,2
8095,26,58,1-26-2017-058-03,3,1,4,2,23,98,98,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,9,9,9,9,942.74596167575400000000,10,2
8356,26,63,1-26-2017-063-06,6,1,3,3,23,10,16,1018,99999999,1,99999999,1,2,1,2,1,0,1,5,9,0,0,4,0,1,2,5,1,1,1,571.99872997199300000000,10,2
8802,26,77,1-26-2017-077-03,3,2,3,3,23,98,98,9998,99999999,6,99999999,3,5,2,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,544.56992031064100000000,10,2
8854,26,81,1-26-2017-081-03,3,1,3,3,23,12,19,9998,99999999,2,99999999,2,2,2,9,9,1,1,5,9,2,9,9,9,1,1,9,1,1,1,810.47864107321700000000,10,2
7780,27,17,1-27-2017-017-03,3,1,2,1,23,13,23,1034,1948313,1,12/08/2015,1,3,1,2,1,0,1,2,3,0,1,2,0,1,2,1,1,1,1,264.38672303208100000000,3,2
6740,28,16,1-28-2017-016-04,4,1,3,1,23,13,23,9998,99999999,2,99999999,1,2,1,2,1,1,1,2,5,1,1,1,9,1,1,3,1,1,1,564.74371478693300000000,3,2
7097,28,26,1-28-2017-026-02,2,1,2,1,23,98,98,9998,99999999,3,99999999,2,2,2,2,1,1,1,2,3,1,3,3,0,1,1,4,1,1,1,81.13717102787040000000,3,2
7344,28,36,1-28-2017-036-10,10,1,2,1,23,13,23,2034,1932359 JJ,2,06/13/2015,2,3,2,2,1,1,1,5,5,9,1,0,0,1,1,3,1,1,1,331.13095900354300000000,3,2
8800,28,66,1-28-2017-066-07,7,1,2,2,21,13,98,9998,99999999,5,99999999,3,2,2,0,0,1,9,0,0,2,9,0,0,1,1,4,1,1,1,791.66807360252500000000,3,2
6865,29,17,1-29-2017-017-02,2,2,2,1,21,13,23,6031,GR910,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,81.43047605260140000000,2,2
6369,30,15,1-30-2017-015-04,4,2,4,1,22,12,19,1021,31511359,1,10/13/2015,1,3,1,2,1,0,1,2,3,0,3,4,0,1,9,4,1,0,0,1749.48622189022000000000,10,2
6604,30,25,1-30-2017-025-10,10,2,2,1,22,13,23,6031,8491BEM,6,08/31/2006,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,9,1,0,0,13435.68844978320000000000,10,2
6733,30,34,1-30-2017-034-03,3,1,2,1,22,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,852.23277090565400000000,10,2
6801,30,38,1-30-2017-038-06,6,2,2,2,23,98,98,9998,99999999,6,99999999,3,5,2,0,0,0,0,0,0,0,0,0,0,1,9,5,1,1,1,1520.31007734854000000000,10,2
6879,30,41,1-30-2017-041-03,3,1,2,2,23,13,23,2037,1807015,2,09/06/2012,2,3,2,2,1,1,1,2,5,2,1,1,0,1,1,3,1,1,1,505.66781882611900000000,10,2
7396,30,61,1-30-2017-061-03,3,1,2,1,22,10,12,4002,CC187DSJ,4,04/11/2016,2,3,2,2,1,1,1,2,3,2,1,0,0,1,1,3,1,0,1,539.22936404511500000000,10,2
7451,30,62,1-30-2017-062-05,5,2,2,1,22,98,98,9998,99999999,99,99999999,9,2,2,9,9,9,9,9,9,2,1,0,9,1,9,4,1,1,1,152.15634478049000000000,10,2
7749,30,70,1-30-2017-070-02,2,1,2,1,23,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,101.74563607327200000000,10,2
7749,30,70,1-30-2017-070-02,2,2,3,1,22,13,23,9998,99999999,2,99999999,2,2,2,2,1,1,1,3,3,2,1,1,9,1,1,5,1,1,1,101.74563607327200000000,10,2
7803,30,72,1-30-2017-072-02,2,2,3,1,23,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,95.95328383992720000000,10,2
8568,30,93,1-30-2017-093-05,5,1,2,3,21,98,98,9998,99999999,99,99999999,3,5,2,0,0,0,0,0,0,0,0,9,0,9,9,9,1,9,9,214.96984617807500000000,10,2
8568,30,93,1-30-2017-093-05,5,1,3,2,22,98,98,9998,99999999,99,99999999,2,5,2,9,9,9,9,9,9,9,9,9,0,1,9,0,0,0,0,214.96984617807500000000,10,2
7730,31,36,1-31-2017-036-05,5,1,4,1,22,98,98,9998,99999999,1,99999999,1,2,1,1,1,0,9,4,3,9,9,4,0,1,2,5,1,0,9,628.83294075430700000000,6,2
7730,31,36,1-31-2017-036-05,5,2,4,1,22,98,98,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,9,3,1,0,0,628.83294075430700000000,6,2
7805,31,39,1-31-2017-039-09,9,1,3,1,22,15,26,6033,0304003,6,11/15/2016,3,1,2,0,0,0,0,0,0,0,0,0,0,1,9,0,3,0,0,1663.27604062427000000000,6,2
6531,32,19,1-32-2017-019-07,7,2,3,1,21,6,6,1009,00060796580070,1,11/01/2011,1,2,1,2,1,0,1,2,3,1,3,4,0,1,2,3,3,1,0,5536.09702917442000000000,7,2
6709,32,28,1-32-2017-028-05,5,2,3,1,23,13,23,6031,0559158,6,04/17/2010,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,257.94526058209200000000,7,2
7010,32,45,1-32-2017-045-08,8,2,3,1,22,12,19,9998,99999999,1,99999999,1,2,1,2,1,0,1,2,3,0,1,4,9,1,2,3,1,1,9,1502.31800595479000000000,7,2
7206,32,61,1-32-2017-061-06,6,1,2,1,23,98,98,9998,99999999,99,99999999,9,1,9,9,9,9,9,9,9,9,9,9,9,1,9,3,9,1,1,1502.03202596143000000000,7,2
7290,32,66,1-32-2017-066-02,2,1,3,1,21,13,23,9998,99999999,3,99999999,2,2,2,9,9,9,9,9,9,9,9,9,9,1,1,3,1,0,1,38.77899408977660000000,7,2
7290,32,66,1-32-2017-066-02,2,1,4,2,23,13,23,9998,99999999,5,99999999,3,5,2,9,9,9,9,9,9,9,9,9,9,1,1,3,1,0,1,38.77899408977660000000,7,2
7299,32,69,1-32-2017-069-03,3,1,2,1,23,98,98,9998,99999999,99,99999999,9,2,9,9,9,9,9,9,9,9,9,9,9,1,5,3,1,1,1,678.98210436141800000000,7,2
7394,32,73,1-32-2017-073-04,4,1,3,1,23,10,12,2014,99999999,2,99999999,2,2,2,2,1,1,1,5,9,9,9,2,9,1,1,3,1,1,1,4211.11416248555000000000,7,2
7980,32,105,1-32-2017-105-07,7,1,2,1,21,98,98,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1697.99965014925000000000,7,2
8482,32,130,1-32-2017-130-02,2,2,2,1,21,10,16,4008,CC138-DDN,4,08/12/2016,1,3,1,2,1,0,1,3,4,0,1,1,0,1,2,3,1,1,1,122.37293885271400000000,7,2
6262,33,6,1-33-2017-006-10,10,2,2,1,23,12,19,5016,30621466,5,03/15/2014,2,3,2,2,1,1,1,9,3,1,3,2,0,1,1,0,2,1,1,813.87000518669400000000,12,2
7081,33,45,1-33-2017-045-03,3,2,2,1,21,98,98,9998,99999999,99,99999999,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,62.99306577741990000000,12,2
7081,33,45,1-33-2017-045-03,3,2,3,2,33,98,98,9998,99999999,99,99999999,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,62.99306577741990000000,12,2
7136,33,49,1-33-2017-049-09,9,2,3,1,21,12,19,6023,36511910,6,03/10/2017,3,3,2,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,660.57266280556000000000,12,2
7136,33,49,1-33-2017-049-09,9,2,4,2,23,12,19,6023,36511909,6,03/03/2017,3,3,2,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,660.57266280556000000000,12,2
7137,33,50,1-33-2017-050-06,6,1,3,1,22,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,202.72237169837300000000,12,2
7228,33,55,1-33-2017-055-06,6,1,2,2,21,10,12,2014,22197-CDV,2,02/07/2014,2,3,2,2,1,1,1,2,3,1,3,3,0,1,1,0,2,1,1,436.28572594027000000000,12,2
7228,33,55,1-33-2017-055-06,6,1,4,1,31,10,12,2014,22197-CDV,2,02/07/2014,2,3,2,2,1,1,1,3,3,1,3,3,0,1,1,2,2,0,1,436.28572594027000000000,12,2
7602,33,70,1-33-2017-070-04,4,2,3,1,23,4,4,5003,E9L39G5,5,03/07/2008,2,1,2,2,1,1,1,9,9,9,9,9,9,9,9,5,1,1,1,69.29788795956030000000,12,2
7733,33,77,1-33-2017-077-03,3,2,2,1,21,98,98,9998,99999999,99,99999999,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,62.99306577741990000000,12,2
7966,33,87,1-33-2017-087-03,3,1,2,1,21,98,98,9998,99999999,99,99999999,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,113.70789209868300000000,12,2
8167,33,96,1-33-2017-096-06,6,1,3,1,21,12,19,2028,3712198,2,05/05/2017,1,3,1,2,1,0,1,4,3,1,1,4,0,1,2,2,0,1,1,91.99339614722810000000,12,2
8167,33,96,1-33-2017-096-06,6,1,5,2,23,12,19,6023,31321542,6,10/06/2014,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,91.99339614722810000000,12,2
8440,33,113,1-33-2017-113-09,9,1,3,1,21,12,19,2030,38111190,2,08/04/2016,2,1,2,2,1,1,1,2,3,1,3,3,0,1,1,5,1,0,0,296.88994567195400000000,12,2
8440,33,113,1-33-2017-113-09,9,1,4,2,23,12,19,2030,38111190,2,08/04/2016,2,1,2,2,1,1,1,2,3,1,3,3,0,1,1,5,1,0,0,296.88994567195400000000,12,2
8514,33,115,1-33-2017-115-03,3,2,2,2,21,98,98,9998,99999999,99,99999999,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,120.00802438183500000000,12,2
8514,33,115,1-33-2017-115-03,3,2,3,3,23,98,98,9998,99999999,99,99999999,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,120.00802438183500000000,12,2
8516,33,117,1-33-2017-117-04,4,1,2,1,21,10,12,6049,BC030AVQ,6,03/24/2016,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,341.73978813933500000000,12,2
8960,33,133,1-33-2017-133-03,3,2,2,2,22,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,64.53383207366660000000,12,2
