CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
6307,12,5,1-12-2017-005-04,4,1,2,1,21,12,19,6024,3414198,6,05/21/2015,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2341.23732557018000000000,9,2
6816,12,18,1-12-2017-018-05,5,1,2,1,21,98,98,9998,99999999,6,99999999,3,5,2,0,0,0,0,0,0,0,0,0,0,1,9,5,1,1,1,628.83294075430700000000,9,2
6816,12,18,1-12-2017-018-05,5,1,3,2,23,98,98,9998,99999999,6,99999999,3,5,2,0,0,0,0,0,0,0,0,0,0,1,9,5,1,1,1,628.83294075430700000000,9,2
6917,12,20,1-12-2017-020-06,6,1,2,1,23,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,5,0,1,0,1254.99773785581000000000,9,2
7056,12,25,1-12-2017-025-03,3,1,2,1,23,98,98,9998,99999999,3,99999999,2,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7140.91132777394000000000,9,2
7056,12,25,1-12-2017-025-03,3,2,2,1,21,98,98,9998,99999999,99,99999999,2,2,2,9,9,9,9,9,9,1,3,3,0,1,1,4,1,1,1,7140.91132777394000000000,9,2
7056,12,25,1-12-2017-025-03,3,2,3,2,23,98,98,9998,99999999,99,99999999,1,2,1,9,9,9,9,9,9,1,3,4,0,1,2,4,1,1,1,7140.91132777394000000000,9,2
7171,12,28,1-12-2017-028-03,3,2,4,1,21,98,98,9998,99999999,1,99999999,1,5,1,9,9,9,9,9,9,9,9,9,9,1,1,5,1,1,1,4470.95150360823000000000,9,2
7171,12,28,1-12-2017-028-03,3,2,5,2,22,98,98,9998,99999999,3,99999999,2,5,2,9,9,9,9,9,9,9,9,9,9,1,1,5,1,0,0,4470.95150360823000000000,9,2
7171,12,28,1-12-2017-028-03,3,2,6,3,23,98,98,9998,99999999,1,99999999,1,5,1,9,9,9,9,9,9,9,9,9,9,1,2,5,1,1,1,4470.95150360823000000000,9,2
7455,12,34,1-12-2017-034-04,4,1,2,1,23,98,98,9998,99999999,99,99999999,1,5,1,9,9,9,9,9,9,9,9,9,9,1,2,3,1,1,1,3990.87077387485000000000,9,2
7586,12,38,1-12-2017-038-04,4,3,3,1,21,13,23,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,890.33745427701100000000,9,2
7586,12,38,1-12-2017-038-04,4,3,4,2,23,13,23,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,890.33745427701100000000,9,2
6408,13,12,1-13-2017-012-03,3,2,3,1,21,13,23,9998,99999999,5,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1539.21955305570000000000,7,2
6445,13,15,1-13-2017-015-03,3,1,3,1,23,98,98,9998,99999999,2,99999999,2,2,2,2,1,1,1,5,3,2,1,1,0,1,1,5,1,1,1,1777.44237550816000000000,7,2
6493,13,16,1-13-2017-016-04,4,2,2,1,23,13,23,5023,8487PTO,5,01/27/2004,3,3,2,0,0,0,0,1,1,1,3,0,0,1,1,3,1,1,1,2740.02107410605000000000,7,2
6849,13,34,1-13-2017-034-09,9,2,2,1,23,98,98,9998,99999999,3,99999999,2,5,2,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,4840.88145206512000000000,7,2
7722,13,74,1-13-2017-074-02,2,3,2,1,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,63.26055253182290000000,7,2
7722,13,74,1-13-2017-074-02,2,3,3,2,22,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,63.26055253182290000000,7,2
7956,13,87,1-13-2017-087-02,2,2,3,1,21,98,98,9998,99999999,1,99999999,1,5,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,1,77.01129182409220000000,7,2
8364,13,105,1-13-2017-105-04,4,3,4,3,23,12,19,2027,3472198,2,03/24/2017,2,1,2,2,1,1,1,3,3,1,1,1,0,1,1,1,1,1,1,3707.61002789913000000000,7,2
8816,13,122,1-13-2017-122-02,2,2,3,4,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,1,114.32871900777300000000,7,2
8816,13,122,1-13-2017-122-02,2,2,5,6,31,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,114.32871900777300000000,7,2
8816,13,122,1-13-2017-122-02,2,2,7,7,33,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,1,114.32871900777300000000,7,2
6293,14,6,1-14-2017-006-02,2,1,2,2,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,377.19204933004900000000,8,2
6293,14,6,1-14-2017-006-02,2,1,3,1,23,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,377.19204933004900000000,8,2
6477,14,11,1-14-2017-011-02,2,2,2,1,21,10,14,9998,99999999,2,99999999,2,2,2,2,1,1,1,3,5,9,9,3,0,1,1,3,1,1,1,309.96875591204000000000,8,2
6477,14,11,1-14-2017-011-02,2,2,3,2,23,13,23,9998,99999999,3,99999999,2,2,2,2,1,0,1,4,5,0,1,5,0,1,1,3,1,1,1,309.96875591204000000000,8,2
7210,14,30,1-14-2017-030-07,7,1,2,1,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,5839.57216860709000000000,8,2
