CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EQUIP,AVAIL,ACTIVATE,CASEWGT,PSUSTRAT,VERSION
7652,10,35,1-10-2017-035-05,5,2,16,0,8,46.58601633291680000000,4,2
7888,10,39,1-10-2017-039-02,2,1,2,0,8,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,3,0,8,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,13,0,8,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,14,1,9,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,15,0,8,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,16,1,9,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,2,0,8,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,3,0,8,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,13,0,8,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,14,0,8,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,15,0,8,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,16,0,8,46.34288220449190000000,4,2
8068,10,42,1-10-2017-042-04,4,1,2,0,8,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,3,0,8,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,13,0,8,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,14,0,8,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,15,0,8,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,16,0,8,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,2,0,8,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,3,0,8,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,13,0,8,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,14,0,8,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,15,0,8,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,16,0,8,340.54286884701600000000,4,2
8204,10,45,1-10-2017-045-03,3,1,2,0,8,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,3,0,8,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,13,0,8,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,14,0,8,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,15,0,8,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,16,0,8,152.96440682076200000000,4,2
8413,10,49,1-10-2017-049-03,3,1,2,9,8,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,3,9,8,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,13,9,8,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,14,9,8,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,15,9,8,157.20339285080300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,16,9,8,157.20339285080300000000,4,2
8478,10,51,1-10-2017-051-04,4,1,2,0,8,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,3,9,8,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,13,0,8,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,14,0,8,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,15,0,8,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,16,0,8,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,2,0,8,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,3,0,8,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,13,0,8,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,14,0,8,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,15,0,8,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,16,0,8,116.73917317886100000000,4,2
8776,10,61,1-10-2017-061-04,4,1,2,9,8,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,1,3,9,8,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,1,13,9,8,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,1,14,9,8,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,1,15,9,8,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,1,16,9,8,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,2,0,8,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,3,0,8,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,13,0,8,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,14,0,8,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,15,0,8,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,16,0,8,36.09665610412430000000,4,2
8786,10,63,1-10-2017-063-02,2,2,2,1,9,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,3,1,9,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,13,0,8,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,14,0,8,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,15,0,8,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,16,0,8,22.46197362103460000000,4,2
8787,10,64,1-10-2017-064-04,4,1,2,9,8,237.71564662407100000000,4,2
8787,10,64,1-10-2017-064-04,4,1,3,9,8,237.71564662407100000000,4,2
8787,10,64,1-10-2017-064-04,4,1,13,9,8,237.71564662407100000000,4,2
8787,10,64,1-10-2017-064-04,4,1,14,9,8,237.71564662407100000000,4,2
8787,10,64,1-10-2017-064-04,4,1,15,9,8,237.71564662407100000000,4,2
8787,10,64,1-10-2017-064-04,4,1,16,9,8,237.71564662407100000000,4,2
8788,10,65,1-10-2017-065-03,3,1,2,9,8,69.62864153073320000000,4,2
8788,10,65,1-10-2017-065-03,3,1,3,9,8,69.62864153073320000000,4,2
8788,10,65,1-10-2017-065-03,3,1,13,9,8,69.62864153073320000000,4,2
8788,10,65,1-10-2017-065-03,3,1,14,9,8,69.62864153073320000000,4,2
8788,10,65,1-10-2017-065-03,3,1,15,9,8,69.62864153073320000000,4,2
8788,10,65,1-10-2017-065-03,3,1,16,9,8,69.62864153073320000000,4,2
8851,10,66,1-10-2017-066-03,3,1,2,9,8,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,1,3,9,8,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,1,13,9,8,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,1,14,9,8,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,1,15,9,8,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,1,16,9,8,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,2,2,0,8,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,2,3,9,8,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,2,13,9,8,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,2,14,9,8,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,2,15,0,8,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,2,16,0,8,49.94718532412980000000,4,2
8852,10,67,1-10-2017-067-07,7,2,2,0,8,187.57866167248400000000,4,2
8852,10,67,1-10-2017-067-07,7,2,3,0,8,187.57866167248400000000,4,2
8852,10,67,1-10-2017-067-07,7,2,13,0,8,187.57866167248400000000,4,2
8852,10,67,1-10-2017-067-07,7,2,14,0,8,187.57866167248400000000,4,2
8852,10,67,1-10-2017-067-07,7,2,15,0,8,187.57866167248400000000,4,2
8852,10,67,1-10-2017-067-07,7,2,16,0,8,187.57866167248400000000,4,2
6400,11,2,1-11-2017-002-07,7,2,2,1,9,4629.69511355905000000000,8,2
6400,11,2,1-11-2017-002-07,7,2,3,0,8,4629.69511355905000000000,8,2
6400,11,2,1-11-2017-002-07,7,2,13,0,8,4629.69511355905000000000,8,2
6400,11,2,1-11-2017-002-07,7,2,14,0,8,4629.69511355905000000000,8,2
6400,11,2,1-11-2017-002-07,7,2,15,0,8,4629.69511355905000000000,8,2
6400,11,2,1-11-2017-002-07,7,2,16,0,8,4629.69511355905000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,2,0,8,2276.03898279806000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,3,0,8,2276.03898279806000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,13,0,8,2276.03898279806000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,14,0,8,2276.03898279806000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,15,0,8,2276.03898279806000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,16,0,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,2,0,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,3,0,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,13,0,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,14,0,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,15,0,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,16,0,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,2,9,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,3,0,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,13,0,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,14,0,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,15,0,8,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,16,0,8,2276.03898279806000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,2,0,8,3733.08442662582000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,3,0,8,3733.08442662582000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,13,0,8,3733.08442662582000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,14,0,8,3733.08442662582000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,15,0,8,3733.08442662582000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,16,0,8,3733.08442662582000000000,8,2
6534,11,8,1-11-2017-008-03,3,1,2,0,8,672.05886567222700000000,8,2
6534,11,8,1-11-2017-008-03,3,1,3,0,8,672.05886567222700000000,8,2
6534,11,8,1-11-2017-008-03,3,1,13,0,8,672.05886567222700000000,8,2
6534,11,8,1-11-2017-008-03,3,1,14,0,8,672.05886567222700000000,8,2
6534,11,8,1-11-2017-008-03,3,1,15,0,8,672.05886567222700000000,8,2
6534,11,8,1-11-2017-008-03,3,1,16,0,8,672.05886567222700000000,8,2
6581,11,9,1-11-2017-009-08,8,2,2,0,8,1502.31800595479000000000,8,2
6581,11,9,1-11-2017-009-08,8,2,3,0,8,1502.31800595479000000000,8,2
6581,11,9,1-11-2017-009-08,8,2,13,0,8,1502.31800595479000000000,8,2
6581,11,9,1-11-2017-009-08,8,2,14,0,8,1502.31800595479000000000,8,2
6581,11,9,1-11-2017-009-08,8,2,15,0,8,1502.31800595479000000000,8,2
6581,11,9,1-11-2017-009-08,8,2,16,0,8,1502.31800595479000000000,8,2
6666,11,13,1-11-2017-013-05,5,1,2,0,8,533.60897797681100000000,8,2
6666,11,13,1-11-2017-013-05,5,1,3,0,8,533.60897797681100000000,8,2
6666,11,13,1-11-2017-013-05,5,1,13,0,8,533.60897797681100000000,8,2
6666,11,13,1-11-2017-013-05,5,1,14,0,8,533.60897797681100000000,8,2
6666,11,13,1-11-2017-013-05,5,1,15,0,8,533.60897797681100000000,8,2
6666,11,13,1-11-2017-013-05,5,1,16,0,8,533.60897797681100000000,8,2
6705,11,15,1-11-2017-015-05,5,4,2,0,8,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,3,0,8,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,13,0,8,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,14,0,8,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,15,0,8,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,16,0,8,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,2,0,8,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,3,9,8,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,13,0,8,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,14,0,8,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,15,0,8,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,16,0,8,459.56320010308000000000,8,2
6809,11,18,1-11-2017-018-02,2,2,2,0,8,327.72235960346100000000,8,2
6809,11,18,1-11-2017-018-02,2,2,3,0,8,327.72235960346100000000,8,2
6809,11,18,1-11-2017-018-02,2,2,13,0,8,327.72235960346100000000,8,2
6809,11,18,1-11-2017-018-02,2,2,14,0,8,327.72235960346100000000,8,2
6809,11,18,1-11-2017-018-02,2,2,15,0,8,327.72235960346100000000,8,2
6809,11,18,1-11-2017-018-02,2,2,16,0,8,327.72235960346100000000,8,2
7095,11,24,1-11-2017-024-01,1,1,2,0,8,235.60164635252800000000,8,2
7095,11,24,1-11-2017-024-01,1,1,3,0,8,235.60164635252800000000,8,2
7095,11,24,1-11-2017-024-01,1,1,13,0,8,235.60164635252800000000,8,2
7095,11,24,1-11-2017-024-01,1,1,14,0,8,235.60164635252800000000,8,2
7095,11,24,1-11-2017-024-01,1,1,15,0,8,235.60164635252800000000,8,2
7095,11,24,1-11-2017-024-01,1,1,16,0,8,235.60164635252800000000,8,2
7096,11,25,1-11-2017-025-05,5,1,2,9,8,213.64699126240900000000,8,2
7096,11,25,1-11-2017-025-05,5,1,3,9,8,213.64699126240900000000,8,2
7096,11,25,1-11-2017-025-05,5,1,13,9,8,213.64699126240900000000,8,2
7096,11,25,1-11-2017-025-05,5,1,14,9,8,213.64699126240900000000,8,2
7096,11,25,1-11-2017-025-05,5,1,15,9,8,213.64699126240900000000,8,2
7096,11,25,1-11-2017-025-05,5,1,16,9,8,213.64699126240900000000,8,2
7154,11,26,1-11-2017-026-05,5,2,2,0,8,562.47811420163700000000,8,2
7154,11,26,1-11-2017-026-05,5,2,3,0,8,562.47811420163700000000,8,2
7154,11,26,1-11-2017-026-05,5,2,13,0,8,562.47811420163700000000,8,2
7154,11,26,1-11-2017-026-05,5,2,14,0,8,562.47811420163700000000,8,2
7154,11,26,1-11-2017-026-05,5,2,15,0,8,562.47811420163700000000,8,2
7154,11,26,1-11-2017-026-05,5,2,16,0,8,562.47811420163700000000,8,2
7237,11,27,1-11-2017-027-03,3,1,2,0,8,2010.92272580976000000000,8,2
7237,11,27,1-11-2017-027-03,3,1,3,0,8,2010.92272580976000000000,8,2
7237,11,27,1-11-2017-027-03,3,1,13,0,8,2010.92272580976000000000,8,2
7237,11,27,1-11-2017-027-03,3,1,14,0,8,2010.92272580976000000000,8,2
7237,11,27,1-11-2017-027-03,3,1,15,0,8,2010.92272580976000000000,8,2
7237,11,27,1-11-2017-027-03,3,1,16,0,8,2010.92272580976000000000,8,2
7412,11,34,1-11-2017-034-03,3,1,2,0,8,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,1,3,0,8,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,1,13,0,8,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,1,14,0,8,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,1,15,0,8,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,1,16,0,8,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,2,2,0,8,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,2,3,0,8,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,2,13,0,8,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,2,14,0,8,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,2,15,0,8,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,2,16,0,8,5482.36530536070000000000,8,2
7413,11,35,1-11-2017-035-01,1,1,2,0,8,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,1,3,0,8,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,1,13,0,8,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,1,14,0,8,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,1,15,0,8,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,1,16,0,8,473.93014835835700000000,8,2
7570,11,37,1-11-2017-037-02,2,1,2,0,8,148.71630109271600000000,8,2
7570,11,37,1-11-2017-037-02,2,1,3,0,8,148.71630109271600000000,8,2
