CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
7259,12,31,1-12-2017-031-02,2,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,13562,655.80624481642800000000,9,2
7259,12,31,1-12-2017-031-02,2,2,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,22769,655.80624481642800000000,9,2
7316,12,32,1-12-2017-032-03,3,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,281,631.78882147421700000000,9,2
7317,12,33,1-12-2017-033-07,7,1,1,0,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,3256.77527939067000000000,9,2
7455,12,34,1-12-2017-034-04,4,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,8351,3990.87077387485000000000,9,2
7456,12,35,1-12-2017-035-04,4,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,5715,3990.87077387485000000000,9,2
7546,12,36,1-12-2017-036-07,7,2,1,0,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,4239.64448800503000000000,9,2
7586,12,38,1-12-2017-038-04,4,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,44185,890.33745427701100000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,4,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,990.61558318088500000000,9,2
7674,12,40,1-12-2017-040-05,5,1,1,3,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,20696,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,2,1,3,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,628.83294075430700000000,9,2
7713,12,41,1-12-2017-041-03,3,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,461.69698135238800000000,9,2
7713,12,41,1-12-2017-041-03,3,2,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,3593,461.69698135238800000000,9,2
7709,12,42,1-12-2017-042-04,4,1,1,2,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,410,2139.05710310235000000000,9,2
7764,12,43,1-12-2017-043-03,3,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,838.43731407849400000000,9,2
7832,12,45,1-12-2017-045-09,9,1,1,1,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,99998,3838.87221500274000000000,9,2
7868,12,46,1-12-2017-046-03,3,1,1,1,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,1689,438.99723933472900000000,9,2
7874,12,47,1-12-2017-047-09,9,1,1,3,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,99998,2454.35239269099000000000,9,2
7948,12,48,1-12-2017-048-03,3,1,1,1,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,5751,896.22568943129300000000,9,2
7949,12,49,1-12-2017-049-03,3,2,1,1,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,7891,896.22568943129300000000,9,2
8002,12,51,1-12-2017-051-10,10,1,1,1,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,34430,1132.14903654290000000000,9,2
8002,12,51,1-12-2017-051-10,10,2,1,1,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,99998,1132.14903654290000000000,9,2
8066,12,53,1-12-2017-053-06,6,1,1,1,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,240,1216.52299057212000000000,9,2
8193,12,55,1-12-2017-055-05,5,2,1,3,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,99998,385.57133132396900000000,9,2
8194,12,56,1-12-2017-056-04,4,1,1,1,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,5257,6880.05579409105000000000,9,2
8259,12,58,1-12-2017-058-04,4,2,1,0,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,99998,3542.25540128003000000000,9,2
8337,12,59,1-12-2017-059-04,4,1,1,0,Crash Data Retrieval Tool 17.5,Crash Data Retrieval Tool 18.0.2,1,1823,3838.87370925107000000000,9,2
8469,12,63,1-12-2017-063-03,3,2,1,1,Crash Data Retrieval Tool 17.5,Crash Data Retrieval Tool 18.0.2,1,2985,597.19614055370900000000,9,2
8470,12,64,1-12-2017-064-07,7,2,1,1,Crash Data Retrieval Tool 17.5,Crash Data Retrieval Tool 18.0.2,1,99998,3078.45527080477000000000,9,2
8556,12,65,1-12-2017-065-03,3,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,13109,1316.99171800419000000000,9,2
8556,12,65,1-12-2017-065-03,3,2,1,0,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,5481,1316.99171800419000000000,9,2
8679,12,69,1-12-2017-069-03,3,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,5591,1450.54178421601000000000,9,2
8895,12,72,1-12-2017-072-03,3,2,1,0,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,5109,1416.44009618599000000000,9,2
8896,12,73,1-12-2017-073-03,3,1,1,2,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,641,1416.44009618599000000000,9,2
8896,12,73,1-12-2017-073-03,3,2,1,0,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,4892,1416.44009618599000000000,9,2
8896,12,73,1-12-2017-073-03,3,3,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,5528,1416.44009618599000000000,9,2
8939,12,74,1-12-2017-074-06,6,2,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,9398,419.20923822946600000000,9,2
9045,12,75,1-12-2017-075-04,4,1,1,0,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,5139,1851.81367077250000000000,9,2
9045,12,75,1-12-2017-075-04,4,2,1,2,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,8280,1851.81367077250000000000,9,2
6050,13,1,1-13-2017-001-04,4,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,385,2302.56589082077000000000,7,2
6050,13,1,1-13-2017-001-04,4,2,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1615,2302.56589082077000000000,7,2
6179,13,4,1-13-2017-004-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,4218,1311.02538454043000000000,7,2
6251,13,6,1-13-2017-006-03,3,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,135,803.97047188463400000000,7,2
6252,13,7,1-13-2017-007-02,2,2,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,6230,62.50188682578690000000,7,2
6315,13,9,1-13-2017-009-04,4,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,6091,4954.12389489274000000000,7,2
6316,13,10,1-13-2017-010-01,1,1,1,0,17.2,17.2,3,99998,333.15253105404000000000,7,2
6316,13,10,1-13-2017-010-01,1,1,2,2,17.2,17.2,1,19025,333.15253105404000000000,7,2
6370,13,11,1-13-2017-011-08,8,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,99998,1502.31800595479000000000,7,2
6408,13,12,1-13-2017-012-03,3,2,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,6552,1539.21955305570000000000,7,2
6409,13,13,1-13-2017-013-05,5,1,1,4,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,6384,262.30835201285800000000,7,2
6445,13,15,1-13-2017-015-03,3,3,1,2,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,99998,1777.44237550816000000000,7,2
6493,13,16,1-13-2017-016-04,4,1,1,3,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,6271,2740.02107410605000000000,7,2
6540,13,19,1-13-2017-019-04,4,1,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,1895,12110.59043255430000000000,7,2
6590,13,20,1-13-2017-020-02,2,2,1,2,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,3426,154.19440424693100000000,7,2
6591,13,21,1-13-2017-021-02,2,2,1,2,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,5385,154.19440424639500000000,7,2
6646,13,23,1-13-2017-023-03,3,1,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,3185,1265.85023364405000000000,7,2
6682,13,24,1-13-2017-024-03,3,1,1,0,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,2,99998,1287.69584822980000000000,7,2
