CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTRUNO,INTCOMP,INTRUSION,INTMAG,INTDIRECT,CASEWGT,PSUSTRAT,VERSION,SEATLOC
7888,10,39,1-10-2017-039-02,2,1,1,18,999,9,3,46.34288220449190000000,4,2,11
7888,10,39,1-10-2017-039-02,2,1,2,8,999,9,3,46.34288220449190000000,4,2,11
7888,10,39,1-10-2017-039-02,2,1,3,18,999,9,3,46.34288220449190000000,4,2,21
8181,10,44,1-10-2017-044-09,9,2,1,2,4,1,2,280.29553550113300000000,4,2,11
8181,10,44,1-10-2017-044-09,9,2,2,7,2,0,2,280.29553550113300000000,4,2,11
8181,10,44,1-10-2017-044-09,9,2,3,5,4,1,2,280.29553550113300000000,4,2,11
8413,10,49,1-10-2017-049-03,3,1,1,15,999,1,3,157.20339285080300000000,4,2,23
8477,10,50,1-10-2017-050-09,9,1,1,17,29,3,3,203.90545677916600000000,4,2,13
8477,10,50,1-10-2017-050-09,9,1,2,8,38,4,3,203.90545677916600000000,4,2,13
8477,10,50,1-10-2017-050-09,9,1,3,7,8,2,3,203.90545677916600000000,4,2,13
8477,10,50,1-10-2017-050-09,9,1,4,14,23,3,3,203.90545677916600000000,4,2,23
8477,10,50,1-10-2017-050-09,9,1,5,20,39,4,3,203.90545677916600000000,4,2,23
8477,10,50,1-10-2017-050-09,9,1,6,6,10,2,3,203.90545677916600000000,4,2,13
8477,10,50,1-10-2017-050-09,9,1,7,20,999,4,3,203.90545677916600000000,4,2,13
8477,10,50,1-10-2017-050-09,9,1,8,23,999,3,3,203.90545677916600000000,4,2,13
8477,10,50,1-10-2017-050-09,9,1,9,23,999,4,3,203.90545677916600000000,4,2,23
8477,10,50,1-10-2017-050-09,9,1,10,6,999,2,3,203.90545677916600000000,4,2,23
8477,10,50,1-10-2017-050-09,9,1,11,24,999,2,2,203.90545677916600000000,4,2,23
8477,10,50,1-10-2017-050-09,9,1,12,25,999,2,2,203.90545677916600000000,4,2,21
8477,10,50,1-10-2017-050-09,9,1,13,25,999,1,2,203.90545677916600000000,4,2,22
8477,10,50,1-10-2017-050-09,9,1,14,25,999,1,2,203.90545677916600000000,4,2,23
6491,11,6,1-11-2017-006-03,3,2,1,8,7,1,3,3733.08442662582000000000,8,2,11
6491,11,6,1-11-2017-006-03,3,2,2,17,3,1,3,3733.08442662582000000000,8,2,11
6620,11,12,1-11-2017-012-08,8,1,1,2,40,4,2,613.01599626985200000000,8,2,11
6620,11,12,1-11-2017-012-08,8,1,2,5,45,4,2,613.01599626985200000000,8,2,11
6666,11,13,1-11-2017-013-05,5,1,1,7,2,0,1,533.60897797681100000000,8,2,11
6666,11,13,1-11-2017-013-05,5,1,2,5,9,2,3,533.60897797681100000000,8,2,11
6666,11,13,1-11-2017-013-05,5,1,3,1,26,3,1,533.60897797681100000000,8,2,11
6666,11,13,1-11-2017-013-05,5,1,4,32,14,2,3,533.60897797681100000000,8,2,11
6666,11,13,1-11-2017-013-05,5,1,5,32,2,0,3,533.60897797681100000000,8,2,11
6667,11,14,1-11-2017-014-05,5,1,1,5,10,2,2,533.60897797681100000000,8,2,11
6667,11,14,1-11-2017-014-05,5,1,2,2,9,2,2,533.60897797681100000000,8,2,11
6667,11,14,1-11-2017-014-05,5,2,1,5,9,2,2,533.60897797681100000000,8,2,11
6667,11,14,1-11-2017-014-05,5,2,2,2,5,1,2,533.60897797681100000000,8,2,11
6746,11,17,1-11-2017-017-01,1,1,1,7,999,2,3,473.93014835835700000000,8,2,11
6746,11,17,1-11-2017-017-01,1,1,2,20,999,2,1,473.93014835835700000000,8,2,11
6746,11,17,1-11-2017-017-01,1,1,3,20,999,1,1,473.93014835835700000000,8,2,21
6746,11,17,1-11-2017-017-01,1,1,4,19,999,2,1,473.93014835835700000000,8,2,21
6746,11,17,1-11-2017-017-01,1,1,5,17,999,1,1,473.93014835835700000000,8,2,11
6746,11,17,1-11-2017-017-01,1,1,6,30,999,1,1,473.93014835835700000000,8,2,21
6746,11,17,1-11-2017-017-01,1,1,7,19,999,1,1,473.93014835835700000000,8,2,13
6746,11,17,1-11-2017-017-01,1,1,8,19,999,1,1,473.93014835835700000000,8,2,12
6746,11,17,1-11-2017-017-01,1,1,9,22,999,1,1,473.93014835835700000000,8,2,11
6844,11,19,1-11-2017-019-08,8,1,1,99,999,9,9,1502.31800595479000000000,8,2,99
6943,11,20,1-11-2017-020-01,1,1,1,99,999,9,9,142.98764664428800000000,8,2,99
6995,11,21,1-11-2017-021-09,9,1,1,15,3,1,3,13617.39825112580000000000,8,2,21
7034,11,22,1-11-2017-022-06,6,3,1,99,999,9,9,6809.55000197747000000000,8,2,99
7042,11,23,1-11-2017-023-05,5,1,1,21,999,2,2,397.08111731963200000000,8,2,11
7042,11,23,1-11-2017-023-05,5,1,2,21,999,2,2,397.08111731963200000000,8,2,12
7042,11,23,1-11-2017-023-05,5,1,3,21,999,2,2,397.08111731963200000000,8,2,13
7042,11,23,1-11-2017-023-05,5,1,4,22,999,2,1,397.08111731963200000000,8,2,11
7042,11,23,1-11-2017-023-05,5,1,5,22,999,2,1,397.08111731963200000000,8,2,12
7042,11,23,1-11-2017-023-05,5,1,6,22,999,2,1,397.08111731963200000000,8,2,13
7042,11,23,1-11-2017-023-05,5,1,7,7,999,2,2,397.08111731963200000000,8,2,11
7042,11,23,1-11-2017-023-05,5,1,8,7,999,2,2,397.08111731963200000000,8,2,13
7042,11,23,1-11-2017-023-05,5,1,9,19,999,2,1,397.08111731963200000000,8,2,11
7042,11,23,1-11-2017-023-05,5,1,10,19,999,2,1,397.08111731963200000000,8,2,12
7042,11,23,1-11-2017-023-05,5,1,11,19,999,2,1,397.08111731963200000000,8,2,13
7095,11,24,1-11-2017-024-01,1,1,1,99,999,9,9,235.60164635252800000000,8,2,99
7096,11,25,1-11-2017-025-05,5,1,1,99,999,9,9,213.64699126240900000000,8,2,99
7237,11,27,1-11-2017-027-03,3,2,1,99,999,9,9,2010.92272580976000000000,8,2,99
7309,11,30,1-11-2017-030-05,5,1,1,99,999,9,9,219.81276137336800000000,8,2,99
7412,11,34,1-11-2017-034-03,3,1,1,99,999,9,9,5482.36530536070000000000,8,2,99
7412,11,34,1-11-2017-034-03,3,2,1,99,999,9,9,5482.36530536070000000000,8,2,99
7413,11,35,1-11-2017-035-01,1,1,1,2,999,5,2,473.93014835835700000000,8,2,11
7413,11,35,1-11-2017-035-01,1,1,2,96,999,8,8,473.93014835835700000000,8,2,88
7413,11,35,1-11-2017-035-01,1,2,1,2,999,3,2,473.93014835835700000000,8,2,11
7413,11,35,1-11-2017-035-01,1,2,2,96,999,8,8,473.93014835835700000000,8,2,88
7413,11,35,1-11-2017-035-01,1,3,1,99,999,9,9,473.93014835835700000000,8,2,99
7642,11,38,1-11-2017-038-03,3,2,1,99,999,9,9,2849.41052148348000000000,8,2,99
7750,11,39,1-11-2017-039-04,4,1,1,99,999,9,9,11665.02643297210000000000,8,2,99
7750,11,39,1-11-2017-039-04,4,2,1,99,999,9,9,11665.02643297210000000000,8,2,99
8188,11,47,1-11-2017-047-02,2,2,1,6,11,2,3,119.39762715992700000000,8,2,11
8188,11,47,1-11-2017-047-02,2,2,2,24,7,1,3,119.39762715992700000000,8,2,11
8188,11,47,1-11-2017-047-02,2,2,3,8,4,1,1,119.39762715992700000000,8,2,23
8188,11,47,1-11-2017-047-02,2,2,4,9,7,1,1,119.39762715992700000000,8,2,33
8201,11,49,1-11-2017-049-03,3,1,1,99,999,9,9,718.14644365892900000000,8,2,99
8201,11,49,1-11-2017-049-03,3,2,1,99,999,9,9,718.14644365892900000000,8,2,99
