CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
6367,12,7,1-12-2017-007-04,4,1,1,1,1,9995,9995,7,8,9995,9995,9995,9997,9997,7,7,7,0,9995,9995,7,8,9995,9995,9995,9997,9997,7,4,7,1021.86144489025000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,1,2,1,9997,9997,7,8,9997,9997,291,9997,9997,7,7,7,0,9997,9997,7,8,9997,9997,291,9997,9997,7,4,7,1021.86144489025000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,1,3,1,9997,9997,7,8,9997,9997,9995,9997,9997,7,7,7,0,9997,9997,7,8,9997,9997,9995,9997,9997,7,4,7,1021.86144489025000000000,9,2
6396,12,8,1-12-2017-008-03,3,1,1,1,0,9995,9995,7,8,9995,9995,9997,9997,9997,7,7,7,0,9995,9995,1,8,3,3,3,9997,9997,7,5,7,1095.44977438854000000000,9,2
6475,12,10,1-12-2017-010-02,2,1,1,1,1,9995,9995,7,8,9995,9995,9995,9997,9997,7,7,7,1,9995,9995,0,8,9995,9995,9995,9997,9997,7,2,7,564.82332510940000000000,9,2
6475,12,10,1-12-2017-010-02,2,2,1,1,1,9995,9995,7,8,9995,9995,9995,9997,9997,7,7,7,1,9995,9995,0,8,9995,9995,9995,9997,9997,7,2,7,564.82332510940000000000,9,2
6580,12,12,1-12-2017-012-08,8,1,1,1,1,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,0,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,1347.70857556865000000000,9,2
6734,12,15,1-12-2017-015-09,9,1,1,1,0,20,122,7,1,9997,9995,9994,9997,9997,7,7,7,0,9995,9995,1,0,9997,9995,9994,9997,9997,7,7,7,3747.88353603989000000000,9,2
6777,12,17,1-12-2017-017-06,6,1,1,1,1,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,7,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,917.18174815223400000000,9,2
6816,12,18,1-12-2017-018-05,5,1,1,1,1,4,9997,7,8,9997,9997,9997,9997,9997,1,7,7,0,4,9997,7,8,9997,9997,9997,9997,9997,7,0,7,628.83294075430700000000,9,2
6816,12,18,1-12-2017-018-05,5,1,1,2,1,4,9997,7,8,9997,9997,9997,9997,9997,0,7,7,0,4,9997,7,8,9997,9997,9997,9997,9997,7,1,7,628.83294075430700000000,9,2
6816,12,18,1-12-2017-018-05,5,1,1,3,0,4,9997,7,8,9997,9997,9997,9997,9997,0,7,7,0,4,9997,7,8,9997,9997,9997,9997,9997,7,0,7,628.83294075430700000000,9,2
6863,12,19,1-12-2017-019-08,8,2,1,1,1,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,0,8,9997,9997,9997,9997,9997,7,7,7,1502.31800595479000000000,9,2
6917,12,20,1-12-2017-020-06,6,1,1,1,0,12,135,7,8,9995,9997,6,9997,9997,0,7,7,0,9995,9995,1,8,9995,9997,6,9997,9997,0,0,7,1254.99773785581000000000,9,2
6917,12,20,1-12-2017-020-06,6,2,1,1,1,9995,9995,7,8,9995,9995,9995,9997,9997,0,7,7,1,9995,9995,0,8,9995,9995,9995,9997,9997,7,2,7,1254.99773785581000000000,9,2
7005,12,23,1-12-2017-023-06,6,1,1,1,7,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,527.92250471460800000000,9,2
7139,12,27,1-12-2017-027-01,1,1,1,1,0,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,7,8,9997,9997,9997,9997,9997,0,7,7,473.93014835835700000000,9,2
7171,12,28,1-12-2017-028-03,3,1,1,1,1,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,1,9997,9997,7,8,9997,9997,9997,9997,9997,0,7,7,4470.95150360823000000000,9,2
7171,12,28,1-12-2017-028-03,3,2,1,1,1,9997,9997,7,8,9995,9995,9994,9997,9997,0,7,7,0,9997,9997,7,8,9995,9995,9994,9997,9997,0,2,7,4470.95150360823000000000,9,2
7211,12,29,1-12-2017-029-09,9,1,1,1,1,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,0,8,9997,9997,9997,9997,9997,7,7,7,3832.45356653444000000000,9,2
7212,12,30,1-12-2017-030-07,7,1,1,1,1,10,9997,7,8,9997,9997,9997,9997,9997,0,7,7,0,10,9997,7,8,9997,9997,9997,9997,9997,7,0,7,2259.18028942213000000000,9,2
7212,12,30,1-12-2017-030-07,7,1,1,2,1,10,9997,7,8,9997,9997,9997,9997,9997,0,7,7,0,10,9997,7,8,9997,9997,9997,9997,9997,7,0,7,2259.18028942213000000000,9,2
7259,12,31,1-12-2017-031-02,2,1,1,1,1,32,62,7,0,0,91,22,9997,9997,0,7,7,1,32,37,0,0,0,0,22,9997,9997,7,7,7,655.80624481642800000000,9,2
7259,12,31,1-12-2017-031-02,2,2,1,1,1,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,655.80624481642800000000,9,2
7316,12,32,1-12-2017-032-03,3,1,1,1,0,9995,9995,7,8,9995,9995,9997,9997,9997,7,7,7,0,9995,9995,1,8,9995,9995,9997,9997,9997,7,7,7,631.78882147421700000000,9,2
7455,12,34,1-12-2017-034-04,4,1,1,1,0,29,179,7,8,9997,9997,9997,9997,9997,0,7,7,0,9997,9997,7,8,9997,9997,9997,9997,9997,0,5,7,3990.87077387485000000000,9,2
7456,12,35,1-12-2017-035-04,4,1,1,1,0,56,9995,7,8,9995,56,50,9997,9997,7,7,7,7,56,9995,7,8,9995,56,50,9997,9997,7,7,7,3990.87077387485000000000,9,2
7586,12,38,1-12-2017-038-04,4,1,1,1,1,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,0,8,9997,9997,9997,9997,9997,7,7,7,890.33745427701100000000,9,2
