CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
6892,10,23,1-10-2017-023-09,9,1,RF,59,affinity touring,P215/65R16,W26V A1A 0608,6,0,1,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,1,RR,59,affinity touring,P215/65R16,W26V A1A,6,0,1,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,LF,155,rs. 320,P225/55R16,4Y6R LMU 1113,5,0,1,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,LR,115,5000,P255/55R16,8E6A,2,0,1,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,RF,115,5000,P225/55R16,8E6A AFFL4509,2,0,1,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,RR,173,tiger pa,P225/55R16,Y96R F0UU,5,0,1,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,LF,182,EPIC Tour,P225/60R16,0UUU UFTS2213,4,0,1,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,LR,182,radial rp 18,P225/60R16,00KLEEACJ,6,0,1,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,RF,77,touring 4.0,P225/60R16,9999999999999,4,0,1,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,RR,182,radial rp18,P225/60R16,00KLEEACJ,6,0,1,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,LF,70,Eagle,P215/45R17,M68B 011R0815,6,0,1,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,LR,70,Eagle,P215/45R17,M68B 011R0815,6,0,1,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,RF,70,Eagle,P215/45R17,M68B 011R0815,6,0,1,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,RR,70,Eagle,P215/45R17,M68B 011R0815,6,0,1,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,LF,30,cs5 ultra,P215/55R17,U93R 1CU 0517,7,0,1,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,LR,59,fr710,P215/55R17,W2PJ 710,7,0,1,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,RF,30,cs5 ultra,P215/55R17,U93R 1CU 0517,7,0,1,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,RR,59,fr710,P215/55R17,W2PJ 710 2213,7,0,1,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,2,LF,103,latitude tour,P245/55R19,B9CH 009X1615,7,9,1,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,LR,103,Latitude Tour,P245/55R19,B9CH 009X1615,6,0,1,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,RF,103,Latitude Tour,P245/55R19,B9CH 009X1615,7,9,1,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,RR,103,Latitude Tour,P245/55R19,B9CH 009X1615,6,0,1,622.14352093650500000000,4,2
7202,10,28,1-10-2017-028-03,3,1,LF,59,fr 710,P225/60R17,8X79 CKD 4516,5,0,1,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,LR,89,solus kl21 •,P225/60R17,27ZA YAL92013,5,0,1,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,RF,89,Unknown,P225/60R17,9999999999999,2,0,1,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,RR,89,solus kl21 to,P225/60R17,27ZA YAL92013,4,0,1,224.66131530031300000000,4,2
7252,10,29,1-10-2017-029-05,5,1,LF,59,precision touring,P225/60R16,8XX0 R3D 4811,5,0,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,LR,59,precision touring,P225/60R16,8XX0 R3D,5,0,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,RF,59,precision,P225/60R16,8XX0 R3D,5,0,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,RR,30,responce,P225/60R16,RMX3 LRD,5,0,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,LF,59,destination le2,P235/70R16,8X08 DE1,8,0,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,LR,59,destination le2,P235/70R16,8X08 DE1,9,0,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,RF,59,destination le2,P235/70R16,8X08 DE1,10,0,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,RR,59,destination le2,P235/70R16,8X08 DE1,9,0,1,50.22440395887630000000,4,2
7295,10,30,1-10-2017-030-06,6,1,LF,66,altimax,P205/60R16,P5XW WBLR1016,6,0,1,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,LR,59,affinity touring,P205/60R16,W2XV A1A 2113,4,0,1,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,RF,66,altimax,P205/60R16,P5XW WBLR1016,6,0,1,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,RR,59,affinity touring,P205/60R16,W2XV A1A 1013,4,0,1,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,LF,103,latitude tour h,P275/60R20,B783 008X3415,4,0,1,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,LR,103,latitude tour,P275/60R20,B783 008X0814,5,0,1,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,RF,103,latitude tour hp,P275/60R20,B783 008X0814,5,0,1,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,RR,103,latitude tour,P275/60R20,B783 008X4414,5,0,1,310.41777074870400000000,4,2
