CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,VINLENGTH,MAKE,MODEL,MODELYR,BODYTYPE,BODYCAT,VEHCLASS,SPECUSE,TRANSTAT,DAMPLANE,DAMSEV,CURBWT,CURBSRC,CARGOWT,CARGOSRC,INSPTYPE,TOWSTAT,SPEEDLIMIT,DRPRESENT,PARALCOHOL,ALCTEST,ALCTESTRESULT,ALCTESTSRC,PARDRUG,DRUGTEST,ZIP,RACE,ETHNICITY,RELTOJUNCT,TRAFFLOW,RDLANES,INITLANE,SURFTYPE,SURFCOND,ALIGNMENT,PROFILE,LINERIGHT,LINELEFT,RUMBINIT,RUMBROAD,LIGHTCOND,WEATHER,TRAFDEV,TRAFFUNCT,DISTRACT,PREFHE,PREMOVE,CRITCAT,CRITEVENT,MANEUVER,PRESTAB,PRELOC,CRASHCAT,CRASHCONF,CRASHTYPE,ROLLTYPE,ROLLTURN,ROLLINTRPT,ROLLPREMAN,ROLLINITYP,ROLLINLOC,ROLLOBJ,ROLLTRIP,ROLLDIR,ROLLDIST,DVANGTHIS,DVANGOTH,TOWHITCH,TRAJDOC,TREEPOLE,DVEVENT,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBES,DVEST,DVCONF,VAIS,VISS,VINJURED,VTREAT,INITOBJCLASS,HEADANGLECAT,CASEWGT,PSUSTRAT,VERSION
6561,10,13,1-10-2017-013-08,8,2,1G2NW52E94C1,17,22,18,2004,4,1,3,0,1,R,9,1393,5,0,1,5,1,56,1,0,0,995,0,0,0,45417,9,9,2,1,2,1,2,2,1,1,0,1,0,0,3,2,1,2,9,0,1,4,66,1,1,1,5,L,87,0,0,0,0,0,0,0,0,0,0,350,260,0,0,0,1,12,999,999,999,9999999,999,999,999,9,0,9,97,0,8,0,995,156.18732584159300000000,4,2
6563,10,14,1-10-2017-014-05,5,1,3FADP4EJ1BM2,17,12,32,2011,5,1,1,0,1,F,1,1160,5,0,1,5,1,56,1,0,0,995,0,0,0,45458,1,2,0,4,5,2,2,2,1,1,3,2,0,0,3,1,0,0,9,1,1,2,12,1,1,4,1,B,6,0,0,0,0,0,0,0,0,0,0,998,998,0,0,0,1,12,999,999,999,9999999,999,999,999,1,0,9,97,0,4,0,998,32.23828227143420000000,4,2
6572,10,15,1-10-2017-015-03,3,1,2G1WB5E3XE11,17,20,2,2014,4,1,4,0,1,F,9,1754,5,9999,9,0,1,40,1,0,0,995,0,0,0,45342,9,9,2,4,4,1,2,2,1,1,0,1,0,0,1,4,2,2,9,0,1,2,17,99,9,1,5,L,88,0,0,0,0,0,0,0,0,0,0,200,110,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,99,99,0,8,0,995,207.98057627128100000000,4,2
6572,10,15,1-10-2017-015-03,3,2,1GNDV33177D1,17,20,444,2007,20,4,20,0,1,L,9,1897,5,9999,9,0,1,72,1,0,0,995,0,0,0,45327,9,9,2,4,6,2,2,2,1,1,3,2,0,0,1,4,0,0,9,0,1,4,66,99,9,1,5,L,89,0,0,0,0,0,0,0,0,0,0,110,200,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,0,0,0,0,0,995,207.98057627128100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,4T1BF1FK3FU9,17,49,40,2015,4,1,4,0,1,F,1,1467,5,0,1,1,1,80,1,0,0,995,0,0,0,45822,1,2,2,4,2,1,2,1,1,1,1,2,0,0,1,1,0,0,9,0,1,4,66,1,1,1,5,L,88,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,1,3,17,-17,-3,11640,998,-25,14,0,1,1,1,0,5,0,995,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,2,1GKEV13D29J1,17,23,8,2009,6,1,5,0,1,L,1,2142,5,9999,9,0,0,80,1,0,0,995,0,0,0,45331,9,9,2,4,2,1,2,1,1,1,1,2,0,0,1,1,2,2,9,0,1,2,17,1,1,1,5,L,89,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,1,3,12,-2,12,18734,998,-32,14,0,4,95,95,95,95,0,995,207.98057628129100000000,4,2
6627,10,17,1-10-2017-017-03,3,1,3N1BC1AP9AL4,17,35,50,2010,4,1,2,0,1,F,2,1150,5,0,1,1,1,56,1,0,0,995,0,0,0,45405,2,2,2,4,4,1,2,1,1,1,1,2,0,0,1,1,1,2,2,0,1,2,17,1,1,1,5,L,88,0,0,0,0,0,0,0,0,0,0,340,250,0,0,0,1,1,30,-26,-15,81022,998,-91,34,0,1,0,0,0,0,0,995,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,1C3CDZAB1DN5,17,7,26,2013,4,1,3,0,1,L,1,1636,5,0,1,1,1,40,1,0,0,995,0,0,0,45405,2,2,2,4,2,1,2,1,1,1,0,2,0,0,1,1,1,2,1,0,1,2,17,1,1,1,5,L,89,0,0,0,0,0,0,0,0,0,0,250,340,0,0,0,1,1,21,-10,18,17346,998,-57,15,0,1,0,0,0,5,0,995,176.57362428059200000000,4,2
6628,10,18,1-10-2017-018-04,4,1,999999999999,99,12,481,1994,34,5,31,99,1,F,9,9999,9,9999,9,0,0,89,1,0,0,995,0,0,0,45402,9,9,0,2,3,2,2,2,1,1,3,3,0,0,1,8,0,0,9,0,1,3,50,99,9,1,2,D,20,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,95,95,95,95,0,995,602.83113887967900000000,4,2
6628,10,18,1-10-2017-018-04,4,2,5NPE24AF8FH0,17,55,33,2015,4,1,4,0,1,B,1,1475,5,0,1,5,0,89,1,0,0,995,0,0,0,45505,9,9,0,2,3,2,2,2,1,1,3,3,0,0,1,8,0,0,9,0,5,3,53,1,1,1,2,D,21,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,1,12,999,999,999,9999999,999,999,999,1,0,95,95,95,95,0,995,602.83113887967900000000,4,2
6628,10,18,1-10-2017-018-04,4,3,19XFB2F91DE0,17,37,31,2013,4,1,3,99,1,F,9,1236,5,9999,9,0,1,89,1,0,0,995,0,0,0,45345,9,9,0,2,3,2,2,2,1,1,3,3,0,0,1,8,0,0,9,1,17,4,61,7,9,2,6,M,98,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,0,0,0,99,0,999,602.83113887967900000000,4,2
