CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
6482,10,11,1-10-2017-011-03,3,1,1,48,0,12,0,0,888,12FREE05,F,R,E,E,05,8,8,8,8,888,888,888,1,12,-12,0,11118,998,69,12,0,1,Front Right bumper corner starts 46 cm from front center,Front right bumper area starts 46 cms from center extends 27 cms,Front bumper corner 50 cm from center front,162,0,162,69,27,3,1,0,1,1,0,3,,,157.31295499839300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,1,1,50,2,0,0,350,02RPEW03,R,P,E,W,03,1,1,1,0,18,70,10,12,999,999,999,9999999,999,999,999,9,1,"Begins 10 cm aft of RR axle, goes fwd","Begins 10 cm aft of RR axle, goes fwd",85cm forward of RR axle,270,-2,270,-24,220,999,999,999,999,999,999,999,,,156.18732584159300000000,4,2
6563,10,14,1-10-2017-014-05,5,1,1,59,0,12,0,0,888,12FZMW01,F,Z,M,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,1,1,Front: begins 33 cms L of center extends R,Front: BC to BC,21 cm R of center,88,0,148,-33,88,999,999,999,999,999,999,999,,,32.23828227143420000000,4,2
6573,10,16,1-10-2017-016-03,3,1,1,2,10,12,0,0,90,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,3,17,-17,-3,11640,998,-25,14,0,1,Front Bumper-starts 57cms left of CL to 77cm right of CL,Front left Bumper Corner to front right bumper corner,Front Bumper from center point 70 cms towards passenger side,155,0,155,10,134,13,1,0,0,0,0,13,,,207.98057628129100000000,4,2
6627,10,17,1-10-2017-017-03,3,1,1,2,30,1,0,0,340,01FDEW03,F,D,E,W,03,8,8,8,8,888,888,888,1,30,-26,-15,81022,998,-91,34,0,1,Front Bumper corner to bumper corner,Front bumper corner to bumper corner,Front bumper 38 cms from center towards passenger side,118,0,140,0,118,30,30,27,26,23,23,18,,,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,1,1,300,10,0,0,250,10LPEW01,L,P,E,W,01,0,0,0,0,7,24,17,1,21,-10,18,17346,998,-57,15,0,1,left side starts 48 cms from LF wheel hb,Left side starts 48cms from LF wheel hub,Left side 23 cms from center of wheel base towards the front ofV2,200,18,200,1,180,11,7,2,11,11,9,3,,,176.57362428059200000000,4,2
6628,10,18,1-10-2017-018-04,4,2,1,1,180,6,0,0,90,06BYEW01,B,Y,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,1,1,Begins at LRBC extending right,"unknown, not measured",Unknown,999,999,156,-42,72,999,999,999,999,999,999,999,,,602.83113887967900000000,4,2
6707,10,19,1-10-2017-019-02,2,1,1,60,0,12,0,0,888,12UFZN99,U,F,Z,N,99,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,9,8,Undercarriage,not measured,unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,2,68,0,12,0,0,888,12FLEN01,F,L,E,N,01,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,7,2,Front - overlapping damage,Not measured - overlapping damage,Unk - overlapping damage,999,999,999,999,999,999,999,999,999,999,999,999,,,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,3,42,0,12,0,0,888,12FYEW03,F,Y,E,W,03,8,8,8,8,888,888,888,1,57,-57,0,230423,998,0,57,0,1,Front Front - starts at ctr and moves left,Front - support corner to support corner,Front -  23 cms left of center,92,0,152,-23,46,61,56,61,48,34,19,1,,,62.26969384391000000000,4,2
6745,10,20,1-10-2017-020-03,3,1,1,2,50,2,0,0,350,02RFEN02,R,F,E,N,02,8,8,8,8,888,888,888,1,11,-7,-9,8377,998,-11,12,0,1,Starts right front bumper corner extends 112 cms towards rear of vehicle,starts right front bumper corner extends rear 112 cms,162 cms from wbc towards front,112,76,112,114,36,15,15,7,8,4,3,6,,,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,2,2,90,3,0,0,305,03RBEW01,R,B,E,W,01,8,8,8,8,888,888,888,1,7,0,-7,7143,998,169,7,0,2,Right side starts 10 cmsaft rr hub,right side starts 10cms aft of rr hub,37 cms aft of rr hub,71,-142,71,-142,71,21,1,3,6,9,12,21,,,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,1,1,320,11,0,0,260,11FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,9,-7,6,9123,998,139,9,0,1,starts 21 cms from front right bumper corner extends 116 cms,Front Bumper corner to bumper corner,Front bumper 54 cms from FCP,146,0,146,9,116,0,0,0,0,0,0,0,,,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,2,1,260,9,0,0,315,09LDEW01,L,D,E,W,01,8,8,8,8,888,888,888,1,6,1,6,3741,998,-61,7,0,2,left side starts 46 cms forward of left rear tire hub,left side starts 25 cms forward of left rear tire hub,54 cms center of wb towards rear,104,-55,104,-39,75,5,5,4,2,1,1,3,,,405.61022897248400000000,4,2
6775,10,21,1-10-2017-021-10,10,1,1,54,170,6,0,0,888,06RZEW01,R,Z,E,W,01,8,8,8,8,888,888,888,1,12,12,-2,10987,998,-59,12,0,1,122cm fore RR axle to 90cm aft,Starts 122 cms from RR tire hub back to RR bumper corner,37 Cms from RR tire Hub towards the rear of vehicle,218,-124,218,-124,218,19,19,5,0,0,1,1,,,3689.55001336570000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,1,2,0,12,0,0,180,12FZEW04,F,Z,E,W,04,8,8,8,8,888,888,888,1,42,-42,0,155192,998,51,39,0,1,17 cms right of center goes right,Bumper corner to bumper corner,70 cms from center towards passenger side,150,0,172,51,67,105,13,19,24,25,60,50,,,2737.61734606746000000000,4,2
6892,10,23,1-10-2017-023-09,9,1,1,2,270,9,0,0,140,09LZEW01,L,Z,E,W,01,0,0,0,0,7,70,5,1,10,0,10,12672,998,-57,12,0,1,left side starts 39 cms forward LR hub goes forward,left side starts39cms forward of LR hub goes forward 120 CMS,34 Cms from center of WB towards rear,120,-57,120,-57,120,12,3,7,12,12,10,0,,,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,1,1,10,12,0,0,220,12FREW01,F,R,E,W,01,8,8,8,8,888,888,888,1,12,-12,-2,9023,998,-97,10,0,1,Front bumper starts 35 cms from fcp towards passenger side,front bumper corner to bumper corner,front bumper 70 cms from fcp towards passenger side,144,0,144,56,43,4,0,0,1,0,0,4,,,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,1,63,0,12,0,0,888,12FLWW03,F,L,W,W,03,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,6,8,lf wheel,lf wheel,lf wheel,999,999,999,999,999,999,999,999,999,999,999,999,,,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,2,63,0,12,0,0,888,12FRWW03,F,R,W,W,03,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,6,2,rf wheel,rf wheel,rf wheel,999,999,999,999,999,999,999,999,999,999,999,999,,,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,3,51,70,2,1,0,888,02RPAW06,R,P,A,W,06,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,8,1,begins 92cm fwd of RR axle,"right, not measured",20cm fwd of right B pillar,999,999,999,-2,45,999,999,999,999,999,999,999,,,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,2,0,12,0,1,80,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,2,1,front bumper starts 29 cms from fcp,front bumper corner to front bumper corner,front bumper 50 cms from front center point,147,0,147,23,107,999,999,999,999,999,999,999,,,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,1,60,100,3,0,0,888,03BDES01,B,D,E,S,01,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,1,rear bumper corner to bumper corner,rear bumper corner to bumper corner,11 cms from rcp towards passenger side,150,0,150,0,150,5,0,5,5,3,3,0,,,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,2,60,340,11,0,0,888,11FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,1,12,-11,4,10967,998,60,12,0,2,Begins at FLBC,bumper corner to bumper corner,64 cms from center towards drivers side,150,0,150,-21,108,2,0,0,0,0,2,1,,,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,2,1,1,330,11,9,0,140,11FYEW99,F,Y,E,W,99,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,2,1,"begins 16cm L of C, goes left",N/A,45cm R of C,999,999,185,-57,77,999,999,999,999,999,999,999,,,622.14352093650500000000,4,2
7202,10,28,1-10-2017-028-03,3,1,1,55,0,12,0,0,888,12FREE05,F,R,E,E,05,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,13,2,1,front bumper starts 37 cms from fcp towards passenger side,bumper corner to bumper corner,50 cms from fcp towards passenger side,120,0,140,56,17,3,0,0,2,3,3,3,,,224.66131530031300000000,4,2
7252,10,29,1-10-2017-029-05,5,1,1,2,40,1,0,0,350,01FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,25,-19,-16,59866,998,-122,23,0,1,Front right bumper corner extends 135 cms towards drivers side,Front bumper corner to bumper corner,7 cms from fcp towards drivers side,154,0,154,12,135,40,3,3,20,31,32,40,,,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,2,2,80,3,0,0,320,03RZHW02,R,Z,H,W,02,8,8,8,8,888,888,888,1,7,-1,-7,5011,998,3,9,0,2,Starts 35 cms from RF hub towards rear extends 134 cms,Starts 35 cms from RF hub towards rea extends176 cms,94 cms from RF hub towards rear,140,23,140,24,134,5,1,2,4,4,4,5,,,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,1,1,310,10,0,0,260,10LYEW02,L,Y,E,W,02,0,0,0,0,14,40,8,1,22,-14,17,47152,998,14,25,0,1,starts 10 cms from front left bumper corner extends 160 cms down left side towards rear,front left bumper corner extends 191 cms down left side,54 cms from left front hub towards rear of vehicle,191,95,191,109,160,28,3,20,28,17,13,18,,,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,2,1,260,9,0,0,320,09LBEW01,L,B,E,W,01,0,0,0,0,29,43,2,1,6,1,6,5524,998,161,6,0,2,left side starts 42 cms from lr hub forward,left side starts 42 cms from lr hub forward,left side 61 cms from lr hub towards rear,121,-165,121,-164,120,14,1,1,1,2,5,14,,,50.22440395887630000000,4,2
7295,10,30,1-10-2017-030-06,6,1,1,2,30,1,0,0,20,01FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,17,-15,-9,24912,998,-143,15,0,1,starts right front bumper corner extends 130 cms,front bumper corner to front bumper corner,60cm right of center,166,0,166,-50,130,16,7,0,1,7,16,10,,,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,2,51,0,12,0,0,888,12FCMN01,F,C,M,N,01,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,6,2,starts 42 cms from left front bumper corner extends 37 cms,front bumper corner to front bumper corner,20 cms from fcp towards drivers side,166,0,166,31,37,999,999,999,999,999,999,999,,,310.41777074870400000000,4,2
