CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTTRACK,REARTRACK,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,CASEWGT,PSUSTRAT,VERSION
6809,11,18,1-11-2017-018-02,2,2,,99,278,109,,,,,,,32,,159,158,125,,,55,,,,,,,32,86,887,327.7223596,8,2
6844,11,19,1-11-2017-019-08,8,1,,,,,,,,,,,,,,,150,,,67,,,,,,,,,887,1502.318006,8,2
6943,11,20,1-11-2017-020-01,1,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,134,887,887,887,887,887,887,887,130,887,887,887,887,142.98764664,8,2
6995,11,21,1-11-2017-021-09,9,1,,96,280,111,,,96,280,111,,24,24,155,154,121,,,110,,,,,118,,38,79,887,13617.398251,8,2
7034,11,22,1-11-2017-022-06,6,3,,,,,,,,,,,,,,,113,,,56,,,,,,,,,887,6809.550002,8,2
7042,11,23,1-11-2017-023-05,5,1,,,,,,,,,,,,,,,,,,887,887,887,,,,,,,,397.08111732,8,2
7095,11,24,1-11-2017-024-01,1,1,,,279,,,,,279,,,,,,,133,,,,,,,,121,,,,887,235.60164635,8,2
7096,11,25,1-11-2017-025-05,5,1,,101,273,110,,,101,273,110,,,,156,155,122,,,59,,,,,110,,35,78,887,213.64699126,8,2
7096,11,25,1-11-2017-025-05,5,2,,85,262,92,,,85,262,92,,,,154,152,112,,,,,152,,,124,,43,79,887,213.64699126,8,2
7154,11,26,1-11-2017-026-05,5,2,,,278,,,,,,,,,,158,159,,,,,,,12,14,128,,,,887,562.4781142,8,2
7237,11,27,1-11-2017-027-03,3,1,,,,,,,,,,,,,,,90,,,,,,,,,,,,887,2010.9227258,8,2
7237,11,27,1-11-2017-027-03,3,2,,,,,,,,,,,,,,,129,,,66,,,,,,,,,887,2010.9227258,8,2
7238,11,28,1-11-2017-028-04,4,2,,96,278,107,,,96,278,107,,,,158,157,114,,,54,,,,,103,,34,83,887,6303.9820363,8,2
7309,11,30,1-11-2017-030-05,5,1,,,,,,,,,,,,,,,118,,,,,,,,,,,,887,219.81276137,8,2
7309,11,30,1-11-2017-030-05,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,219.81276137,8,2
7310,11,31,1-11-2017-031-07,7,2,,100,264,114,,,101,264,114,,20,26,147,145,124,,,55,,,25,35,94,5,38,79,887,6275.1078732,8,2
7412,11,34,1-11-2017-034-03,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,5482.3653054,8,2
7412,11,34,1-11-2017-034-03,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,5482.3653054,8,2
7413,11,35,1-11-2017-035-01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,473.93014836,8,2
7413,11,35,1-11-2017-035-01,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,473.93014836,8,2
7413,11,35,1-11-2017-035-01,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,887,473.93014836,8,2
7570,11,37,1-11-2017-037-02,2,1,,97,277,112,,,97,277,112,,,,159,158,125,,,55,,,,,110,,34,80,887,148.71630109,8,2
7642,11,38,1-11-2017-038-03,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,2849.4105215,8,2
7750,11,39,1-11-2017-039-04,4,1,,96,288,97,,,96,288,97,,,,160,163,95,,,,,175,,,136,,52,82,887,11665.026433,8,2
7750,11,39,1-11-2017-039-04,4,2,,96,277,108,,,96,277,108,,,,159,158,121,,,55,,,,,108,,37,81,887,11665.026433,8,2
7978,11,43,1-11-2017-043-07,7,1,,89,262,100,,,89,262,100,,,,156,156,98,,,,,,,,103,,40,84,887,5823.9072622,8,2
7978,11,43,1-11-2017-043-07,7,2,,94,269,95,,,94,269,95,,,,151,153,101,,,50,,,,,110,,37,76,887,5823.9072622,8,2
8100,11,46,1-11-2017-046-02,2,2,,94,265,83,,,94,265,83,,36,,151,152,124,,,,,,15,20,112,,34,81,887,256.64109034,8,2
8188,11,47,1-11-2017-047-02,2,2,,100,290,111,,,100,290,111,,40,,167,167,122,,,,,191,18,15,114,4,43,87,887,119.39762716,8,2
8201,11,49,1-11-2017-049-03,3,1,,101,284,126,,,101,284,126,,,,157,160,131,,,69,,,,,113,,30,84,887,718.14644366,8,2
8201,11,49,1-11-2017-049-03,3,2,,91,280,114,,,91,280,114,,,,156,153,121,,,54,,,,,113,,35,79,887,718.14644366,8,2
8243,11,50,1-11-2017-050-06,6,1,,97,308,111,,,97,308,111,,39,,165,165,107,,,,,219,5,15,139,,46,90,887,6809.550002,8,2
8243,11,50,1-11-2017-050-06,6,2,,75,265,82,,,75,265,82,,,,153,152,131,,,,,152,,,118,,48,83,887,6809.550002,8,2
8339,11,51,1-11-2017-051-03,3,1,,77,249,85,,,77,249,85,,,,151,150,103,,,,,147,,,122,,44,81,887,1540.9790491,8,2
8339,11,51,1-11-2017-051-03,3,2,,94,282,110,,,94,282,110,,,,160,160,122,,,50,,,21,15,116,,35,84,887,1540.9790491,8,2
8347,11,53,1-11-2017-053-05,5,2,,95,284,113,,,,,,,,,156,156,119,,,66,,,,,107,,37,79,887,215.76360545,8,2
8402,11,54,1-11-2017-054-09,9,1,,83,285,106,,,83,285,106,,25,,150,150,125,,,57,,,,,122,,38,82,887,11639.620608,8,2
8472,11,56,1-11-2017-056-02,2,1,,91,282,112,,,91,282,112,,,,161,161,133,,,,,181,18,14,121,,40,93,887,182.45859961,8,2
8472,11,56,1-11-2017-056-02,2,2,,85,284,108,,,85,284,108,,40,,149,146,129,,,887,887,887,,,122,,43,74,204,182.45859961,8,2
8535,11,57,1-11-2017-057-02,2,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,105,887,887,887,887,887,887,887,887,887,887,887,887,606.20652263,8,2
8671,11,58,1-11-2017-058-03,3,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,2705.7624522,8,2
8672,11,59,1-11-2017-059-07,7,2,,96,275,102,,,96,275,102,,33,42,157,157,132,,,49,,,,,120,,37,80,887,10815.321059,8,2
