CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEATLOC,SEATTYPE,ORIENTATION,TRACK,PERFORMANCE,INTRESTRAINT,HEADRESTYPE,HEADRESTDAM,HEADRESTACT,ROLLPROTECTION,BELTAVAILINSP,BELTUSEINSP,BELTMALFUNCTIONINSP,BELTANCHORINSP,BELTPRETENSIONINSP,BELTPOSDEVPRESINSP,BELTGUIDEINSP,SEATROW,LOCATION,CASEWGT,PSUSTRAT,VERSION
6949,10,24,1-10-2017-024-08,8,1,22,,,,,,,,,,,,,,,,,2,2,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,23,,,,,,,,,,,,,,,,,2,3,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,11,1,1,3,1,1,3,2,2,1,4,4,1,4,1,0,0,1,1,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,13,,,,,,,,,,,,,,,,,1,3,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,21,,,,,,,,,,,,,,,,,2,1,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,22,,,,,,,,,,,,,,,,,2,2,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,23,,,,,,,,,,,,,,,,,2,3,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,11,1,1,4,1,1,3,2,1,1,4,4,1,2,1,0,0,1,1,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,13,,,,,,,,,,,,,,,,,1,3,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,21,,,,,,,,,,,,,,,,,2,1,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,22,,,,,,,,,,,,,,,,,2,2,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,23,,,,,,,,,,,,,,,,,2,3,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,1,11,99,9,9,99,9,99,9,9,1,,,,,,,,1,1,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,11,1,1,5,1,1,3,2,1,1,4,4,1,4,2,0,0,1,1,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,13,,,,,,,,,,,,,,,,,1,3,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,21,,,,,,,,,,,,,,,,,2,1,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,22,,,,,,,,,,,,,,,,,2,2,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,23,,,,,,,,,,,,,,,,,2,3,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,31,,,,,,,,,,,,,,,,,3,1,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,33,,,,,,,,,,,,,,,,,3,3,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,98,,,,,,,,,,,,,,,,,0,0,622.14352093650500000000,4,2
7202,10,28,1-10-2017-028-03,3,1,11,1,1,4,1,1,3,2,2,1,4,4,1,2,1,0,0,1,1,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,13,,,,,,,,,,,,,,,,,1,3,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,21,,,,,,,,,,,,,,,,,2,1,224.66131530031300000000,4,2
