CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,SEATLOC,CASEWGT,PSUSTRAT,VERSION
7202,10,28,1-10-2017-028-03,3,1,2,11,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,5,11,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,3,13,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,4,13,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,6,13,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,2,21,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,4,23,224.66131530031300000000,4,2
7252,10,29,1-10-2017-029-05,5,1,1,11,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,2,13,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,1,11,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,3,11,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,5,11,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,2,13,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,4,13,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,6,13,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,3,21,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,4,23,50.22440395887630000000,4,2
7295,10,30,1-10-2017-030-06,6,1,1,11,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,3,11,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,2,13,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,4,13,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,3,21,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,4,23,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,1,11,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,3,11,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,2,13,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,4,13,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,3,21,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,4,23,310.41777074870400000000,4,2
7345,10,31,1-10-2017-031-04,4,1,1,11,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,2,11,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,4,11,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,7,11,1650.22234645847000000000,4,2
