CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,DAMAGE,CASEWGT,PSUSTRAT,VERSION
6400,11,2,1-11-2017-002-07,7,2,RF,0,4629.69511355905000000000,8,2
6400,11,2,1-11-2017-002-07,7,2,RR,0,4629.69511355905000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,LF,0,2276.03898279806000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,LR,0,2276.03898279806000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,RF,7,2276.03898279806000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,RR,0,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,LF,0,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,LR,0,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,RF,0,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,RR,0,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,LF,0,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,LR,0,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,RF,0,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,RR,0,2276.03898279806000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,LF,0,3733.08442662582000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,LR,0,3733.08442662582000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,RF,0,3733.08442662582000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,RR,0,3733.08442662582000000000,8,2
6534,11,8,1-11-2017-008-03,3,1,LF,7,672.05886567222700000000,8,2
6534,11,8,1-11-2017-008-03,3,1,LR,0,672.05886567222700000000,8,2
6534,11,8,1-11-2017-008-03,3,1,RF,0,672.05886567222700000000,8,2
6534,11,8,1-11-2017-008-03,3,1,RR,0,672.05886567222700000000,8,2
6581,11,9,1-11-2017-009-08,8,2,LF,0,1502.31800595479000000000,8,2
6581,11,9,1-11-2017-009-08,8,2,LR,0,1502.31800595479000000000,8,2
6581,11,9,1-11-2017-009-08,8,2,RF,0,1502.31800595479000000000,8,2
6581,11,9,1-11-2017-009-08,8,2,RR,0,1502.31800595479000000000,8,2
6619,11,11,1-11-2017-011-08,8,2,LF,0,613.01599626985200000000,8,2
6619,11,11,1-11-2017-011-08,8,2,LR,0,613.01599626985200000000,8,2
6619,11,11,1-11-2017-011-08,8,2,RF,0,613.01599626985200000000,8,2
6619,11,11,1-11-2017-011-08,8,2,RR,0,613.01599626985200000000,8,2
6620,11,12,1-11-2017-012-08,8,1,LF,7,613.01599626985200000000,8,2
6620,11,12,1-11-2017-012-08,8,1,LR,0,613.01599626985200000000,8,2
6620,11,12,1-11-2017-012-08,8,1,RF,0,613.01599626985200000000,8,2
6620,11,12,1-11-2017-012-08,8,1,RR,0,613.01599626985200000000,8,2
6666,11,13,1-11-2017-013-05,5,1,LF,0,533.60897797681100000000,8,2
6666,11,13,1-11-2017-013-05,5,1,LR,0,533.60897797681100000000,8,2
6666,11,13,1-11-2017-013-05,5,1,RF,7,533.60897797681100000000,8,2
6666,11,13,1-11-2017-013-05,5,1,RF,5,533.60897797681100000000,8,2
6666,11,13,1-11-2017-013-05,5,1,RR,0,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,LF,0,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,LR,0,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,RF,0,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,RR,0,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,2,LF,7,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,2,LF,8,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,2,LR,0,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,2,RF,0,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,2,RR,0,533.60897797681100000000,8,2
6705,11,15,1-11-2017-015-05,5,1,LF,0,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,1,LR,0,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,1,RF,0,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,1,RR,0,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,LF,0,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,LR,0,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,RF,0,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,RR,0,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,LF,0,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,LR,0,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,RF,0,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,RR,0,459.56320010308000000000,8,2
