CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
8850,10,66,1-10-2017-066-03,3,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,49.94718532412980000000,4,2
8850,10,66,1-10-2017-066-03,3,2,2314,1275,1275,P245/45R20,220,P245/45R20,220,,,,,,,,,49.94718532412980000000,4,2
8852,10,67,1-10-2017-067-07,7,2,1685,895,796,P195/60R15,220,P195/60R15,220,,,,,,,,,187.57866167248400000000,4,2
8926,10,68,1-10-2017-068-09,9,1,2006,1047,959,P215/60R16,210,P215/60R16,210,,,,,,,,,403.30917801774800000000,4,2
8926,10,68,1-10-2017-068-09,9,2,1509,770,739,P185/65R15,210,P185/65R15,180,,,,,,,,,403.30917801774800000000,4,2
8928,10,69,1-10-2017-069-07,7,1,3085,1633,1792,P245/70R17,240,P245/70R17,240,,,,,,,,,253.99691240200700000000,4,2
6400,11,2,1-11-2017-002-07,7,2,2125,1161,1000,P215/55R17,230,P215/55R17,230,,,,,,,,,4629.69511355905000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,3175,1531,1724,P265/70R17,240,P265/70R17,240,,,,,,,,,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,1730,979,820,P195/65R15,220,P195/65R15,220,,,,,,,,,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,1720,925,810,P215/45R17,220,P215/45R17,220,,,,,,,,,2276.03898279806000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,1600,1008,592,P185/65R15,230,P185/65R15,230,,,,,,,,,3733.08442662582000000000,8,2
6534,11,8,1-11-2017-008-03,3,1,1760,980,910,P205/55R16,230,P205/55R16,230,,,,,,,,,672.05886567222700000000,8,2
6581,11,9,1-11-2017-009-08,8,2,2440,1297,1157,P235/65R17,240,P235/65R17,240,,,,,,,,,1502.31800595479000000000,8,2
6619,11,11,1-11-2017-011-08,8,2,2767,1429,1672,P225/75R15,241,P225/75R15,241,,,,,,,,,613.01599626985200000000,8,2
6620,11,12,1-11-2017-012-08,8,1,2249,1088,1247,P225/70R15,207,P225/70R15,207,,,,,,,,,613.01599626985200000000,8,2
6666,11,13,1-11-2017-013-05,5,1,1941,1017,993,P215/60R16,220,P215/60R16,220,,,,,,,,,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,1741,948,839,P195/65R15,210,P195/65R15,210,,,,,,,,,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,2,9998,2177,9998,P215/85R16,480,P215/85R16,450,,,,,,,,,533.60897797681100000000,8,2
6705,11,15,1-11-2017-015-05,5,1,1944,1036,907,P225/50R17,235,P225/50R17,235,,,,,,,,,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,1950,1060,915,P215/60R16,210,P215/60R16,210,,,,,,,,,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,2314,1248,1316,P225/65R17,250,P225/65R17,250,,,,,,,,,459.56320010308000000000,8,2
6746,11,17,1-11-2017-017-01,1,1,2150,1163,987,P205/75R15,207,P205/75R15,207,,,,,,,,,473.93014835835700000000,8,2
6809,11,18,1-11-2017-018-02,2,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,327.72235960346100000000,8,2
6809,11,18,1-11-2017-018-02,2,2,2100,1190,1190,P215/55R17,240,P215/55R17,240,,,,,,,,,327.72235960346100000000,8,2
6844,11,19,1-11-2017-019-08,8,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,1502.31800595479000000000,8,2
6943,11,20,1-11-2017-020-01,1,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,142.98764664428800000000,8,2
6995,11,21,1-11-2017-021-09,9,1,1906,1020,893,9999999999,999,9999999999,999,,,,,,,,,13617.39825112580000000000,8,2
7034,11,22,1-11-2017-022-06,6,3,2131,1140,1000,9999999999,999,9999999999,999,,,,,,,,,6809.55000197747000000000,8,2
7042,11,23,1-11-2017-023-05,5,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,397.08111731963200000000,8,2
7095,11,24,1-11-2017-024-01,1,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,235.60164635252800000000,8,2
7096,11,25,1-11-2017-025-05,5,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,213.64699126240900000000,8,2
7096,11,25,1-11-2017-025-05,5,2,1986,1060,1008,P225/70R15,205,P225/70R15,205,,,,,,,,,213.64699126240900000000,8,2
7154,11,26,1-11-2017-026-05,5,2,1941,1017,993,P215/60R16,220,P215/60R16,220,,,,,,,,,562.47811420163700000000,8,2
7237,11,27,1-11-2017-027-03,3,1,1805,1030,987,9999999999,999,9999999999,999,,,,,,,,,2010.92272580976000000000,8,2
7237,11,27,1-11-2017-027-03,3,2,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,2010.92272580976000000000,8,2
7238,11,28,1-11-2017-028-04,4,2,1971,1210,1070,9999999999,999,9999999999,999,,,,,,,,,6303.98203629516000000000,8,2
7309,11,30,1-11-2017-030-05,5,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,219.81276137336800000000,8,2
7309,11,30,1-11-2017-030-05,5,2,1941,1017,993,9999999999,999,9999999999,999,,,,,,,,,219.81276137336800000000,8,2
7310,11,31,1-11-2017-031-07,7,2,2075,1160,935,P225/50R17,220,P225/50R17,220,,,,,,,,,6275.10787317042000000000,8,2
7412,11,34,1-11-2017-034-03,3,1,2032,1048,1093,P225/60R17,210,P225/60R17,210,,,,,,,,,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,2,2070,1055,1035,P225/65R17,999,P225/65R17,999,,,,,,,,,5482.36530536070000000000,8,2
7413,11,35,1-11-2017-035-01,1,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,2,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,3,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,473.93014835835700000000,8,2
7570,11,37,1-11-2017-037-02,2,1,1910,1005,940,P215/60R16,220,P215/60R16,220,,,,,,,,,148.71630109271600000000,8,2
7642,11,38,1-11-2017-038-03,3,2,2445,1200,1350,P235/60R18,220,P235/60R18,220,,,,,,,,,2849.41052148348000000000,8,2
7750,11,39,1-11-2017-039-04,4,1,2495,1293,1293,P215/70R15,248,P215/70R15,248,,,,,,,,,11665.02643297210000000000,8,2
7750,11,39,1-11-2017-039-04,4,2,2100,1191,1191,9999999999,999,9999999999,999,,,,,,,,,11665.02643297210000000000,8,2
7978,11,43,1-11-2017-043-07,7,1,2070,1050,1040,P225/65R17,999,P225/65R17,999,,,,,,,,,5823.90726220291000000000,8,2
7978,11,43,1-11-2017-043-07,7,2,1792,1010,821,9999999999,999,9999999999,999,,,,,,,,,5823.90726220291000000000,8,2
8100,11,46,1-11-2017-046-02,2,2,1950,990,1000,P205/50R17,220,P205/50R17,210,,,,,,,,,256.64109034170400000000,8,2
8188,11,47,1-11-2017-047-02,2,2,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,119.39762715992700000000,8,2
8200,11,49,1-11-2017-049-03,3,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,718.14644365892900000000,8,2
8200,11,49,1-11-2017-049-03,3,2,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,718.14644365892900000000,8,2
8242,11,50,1-11-2017-050-06,6,1,2745,1339,1407,P225/65R17,250,P225/65R17,250,,,,,,,,,6809.55000197747000000000,8,2
8242,11,50,1-11-2017-050-06,6,2,2541,1248,1429,P215/75R16,227,P215/75R16,227,,,,,,,,,6809.55000197747000000000,8,2
8338,11,51,1-11-2017-051-03,3,1,1854,930,1010,P215/70R16,200,P215/70R16,200,,,,,,,,,1540.97904907861000000000,8,2
8338,11,51,1-11-2017-051-03,3,2,2019,1057,968,P235/50R17,220,P235/50R17,220,,,,,,,,,1540.97904907861000000000,8,2
8346,11,53,1-11-2017-053-05,5,2,2082,1130,961,9999999999,999,9999999999,999,,,,,,,,,215.76360545375000000000,8,2
8402,11,54,1-11-2017-054-09,9,1,2151,1042,1119,P215/55R17,210,P215/55R17,210,,,,,,,,,11639.62060784460000000000,8,2
8472,11,56,1-11-2017-056-02,2,1,2855,1360,1560,P245/60R20,220,P245/60R20,220,,,,,,,,,182.45859960946600000000,8,2
8472,11,56,1-11-2017-056-02,2,2,1968,997,1156,P225/70R15,207,P225/70R15,207,,,,,,,,,182.45859960946600000000,8,2
8534,11,57,1-11-2017-057-02,2,1,2075,1080,1043,P225/60R17,241,P225/60R17,241,,,,,,,,,606.20652262610400000000,8,2
8670,11,58,1-11-2017-058-03,3,1,1980,1100,960,9999999999,999,9999999999,999,,,,,,,,,2705.76245215757000000000,8,2
8672,11,59,1-11-2017-059-07,7,2,2010,1070,1060,P205/60R16,220,P205/60R16,220,,,,,,,,,10815.32105872460000000000,8,2
8778,11,60,1-11-2017-060-03,3,1,1733,939,839,9999999999,999,9999999999,999,,,,,,,,,6747.68905404697000000000,8,2
8778,11,60,1-11-2017-060-03,3,2,2404,1275,1129,P245/60R18,240,P245/60R18,240,,,,,,,,,6747.68905404697000000000,8,2
8838,11,61,1-11-2017-061-02,2,2,2012,1080,1080,P205/70R16,240,P205/70R16,240,,,,,,,,,356.97106988378900000000,8,2
6110,12,1,1-12-2017-001-06,6,1,2067,1127,940,P225/55R17,210,P225/55R17,210,,,,,,,,,831.84353437745300000000,9,2
6185,12,2,1-12-2017-002-06,6,1,2294,1210,1280,P235/60R17,210,P235/60R17,210,,,,,,,,,6809.55000197747000000000,9,2
6185,12,2,1-12-2017-002-06,6,2,2313,1138,1315,9999999999,999,9999999999,999,,,,,,,,,6809.55000197747000000000,9,2
6238,12,3,1-12-2017-003-04,4,1,4173,2118,2760,LT245/75R16,380,LT245/75R16,550,,,,,,,,,2969.00932898461000000000,9,2
6238,12,3,1-12-2017-003-04,4,2,2250,1175,1240,P225/65R17,240,P225/65R17,240,,,,,,,,,2969.00932898461000000000,9,2
6242,12,4,1-12-2017-004-07,7,1,2142,1030,1124,P225/50R18,230,P225/50R18,230,,,,,,,,,3303.40692034561000000000,9,2
6307,12,5,1-12-2017-005-04,4,1,2200,1350,1395,P235/65R17,235,P235/65R17,235,,,,,,,,,2341.23732557018000000000,9,2
6307,12,5,1-12-2017-005-04,4,2,1932,1052,959,P225/75R15,220,P225/75R15,220,,,,,,,,,2341.23732557018000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,1733,939,839,P205/55R16,220,P205/55R16,220,,,,,,,,,1021.86144489025000000000,9,2
6396,12,8,1-12-2017-008-03,3,1,2715,1325,1454,P235/65R18,230,P235/65R18,230,,,,,,,,,1095.44977438854000000000,9,2
6396,12,8,1-12-2017-008-03,3,2,3085,1770,1770,P275/60R20,270,P275/60R20,270,,,,,,,,,1095.44977438854000000000,9,2
6438,12,9,1-12-2017-009-06,6,1,3039,1565,1724,P235/70R17,260,P235/70R17,260,,,,,,,,,1810.24026052966000000000,9,2
6438,12,9,1-12-2017-009-06,6,2,1665,880,785,P205/65R16,220,P205/65R16,220,,,,,,,,,1810.24026052966000000000,9,2
6475,12,10,1-12-2017-010-02,2,1,2078,1068,1010,P235/50R18,230,P235/50R18,230,,,,,,,,,564.82332510940000000000,9,2
6475,12,10,1-12-2017-010-02,2,2,2091,1129,962,P225/55R17,210,P225/55R17,210,,,,,,,,,564.82332510940000000000,9,2
6537,12,11,1-12-2017-011-01,1,1,2040,1055,1125,P225/60R17,230,P225/60R17,230,,,,,,,,,473.93014835835700000000,9,2
6580,12,12,1-12-2017-012-08,8,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,1347.70857556865000000000,9,2
6671,12,13,1-12-2017-013-06,6,1,1656,850,814,P185/65R14,230,P185/65R14,230,,,,,,,,,1527.56309545422000000000,9,2
6734,12,15,1-12-2017-015-09,9,1,9998,9998,9998,P205/65R15,210,P205/65R15,210,,,,,,,,,3747.88353603989000000000,9,2
6747,12,16,1-12-2017-016-06,6,1,1710,904,814,P185/65R15,230,P185/65R15,230,,,,,,,,,1702.36586596526000000000,9,2
6777,12,17,1-12-2017-017-06,6,1,4173,2177,2760,LT245/75R16,420,LT245/75R16,550,,,,,,,,,917.18174815223400000000,9,2
6777,12,17,1-12-2017-017-06,6,2,3992,2359,2722,LT245/70R17,520,LT245/70R17,550,,,,,,,,,917.18174815223400000000,9,2
6816,12,18,1-12-2017-018-05,5,1,1744,914,839,P205/55R16,220,P205/55R16,220,,,,,,,,,628.83294075430700000000,9,2
6863,12,19,1-12-2017-019-08,8,2,1815,1001,814,P215/60R15,210,P215/60R15,210,,,,,,,,,1502.31800595479000000000,9,2
6917,12,20,1-12-2017-020-06,6,1,3085,1656,1792,P245/70R17,240,P245/70R17,240,,,,,,,,,1254.99773785581000000000,9,2
6917,12,20,1-12-2017-020-06,6,2,2078,917,1101,P245/45R20,250,P275/40R20,250,,,,,,,,,1254.99773785581000000000,9,2
